brand_id,fascia_id,brand,fascia,p25_m2,median_m2,p75_m2,min_m2,max_m2,sample_count,coefficient_of_variation
16acd791-716a-5383-b9e2-e3b7eaa254a1,55010877-f3d4-59f0-8b88-19c079e5288f,Whole Foods Market,Whole Foods Market,463.0,541.5,1408.2,352.0,2056.0,6,0.782
16acd791-716a-5383-b9e2-e3b7eaa254a1,,Whole Foods Market,,463.0,541.5,1408.2,352.0,2056.0,6,0.782
31b0c325-d3b0-434e-94a0-d703fa39aa05,1e36bebc-19f2-416c-8ec1-716409e8285a,Wingstop,Wingstop,188.0,319.0,359.0,108.0,651.0,9,0.566
31b0c325-d3b0-434e-94a0-d703fa39aa05,,Wingstop,,188.0,319.0,359.0,108.0,651.0,9,0.566
bb41b358-979e-4ab6-a4f8-5e1e089f5bfe,3e33c476-b9e2-4d5d-858b-5080f90289cf,Yours Clothing,Yours Clothing,292.0,376.0,413.0,282.0,471.0,9,0.184
bb41b358-979e-4ab6-a4f8-5e1e089f5bfe,,Yours Clothing,,292.0,376.0,413.0,282.0,471.0,9,0.184
40ed404b-1301-488a-967e-6e99f0341620,5445935a-5c9f-43b8-a220-7f602ae41d96,UNIQLO,UNIQLO,1145.5,1540.0,2675.2,84.0,9908.0,12,1.109
40ed404b-1301-488a-967e-6e99f0341620,,UNIQLO,,1145.5,1540.0,2675.2,84.0,9908.0,12,1.109
981aa7f8-2e76-4575-acb1-3b0e0c25c0ec,2d23af6a-8f68-4241-8319-eb932822346b,Rosa's Thai,Rosa's Thai,133.5,213.5,267.5,121.0,510.0,12,0.54
981aa7f8-2e76-4575-acb1-3b0e0c25c0ec,,Rosa's Thai,,133.5,213.5,267.5,121.0,510.0,12,0.54
ff485f3e-d5f2-4385-a43a-4664c06a6c2e,86123f85-33f4-4d36-9937-63447f305b54,Skechers,Skechers,412.0,444.0,655.0,174.0,861.0,5,0.511
ff485f3e-d5f2-4385-a43a-4664c06a6c2e,,Skechers,,412.0,444.0,655.0,174.0,861.0,5,0.511
865313bb-8a52-5926-94ce-30238af1d890,c27fd31e-3d97-5a38-a82c-e55454026e9a,Planet Organic,Planet Organic,387.0,411.0,489.8,161.0,545.0,6,0.335
865313bb-8a52-5926-94ce-30238af1d890,,Planet Organic,,387.0,411.0,489.8,161.0,545.0,6,0.335
7acf6557-f6a3-40be-8f39-b42399d5e697,87f0dda3-8ad8-45bb-9ca0-178a9bc983ad,Tonkotsu,Tonkotsu,74.8,124.5,216.2,66.0,375.0,6,0.731
7acf6557-f6a3-40be-8f39-b42399d5e697,,Tonkotsu,,74.8,124.5,216.2,66.0,375.0,6,0.731
66236d6f-3e07-415b-83f8-5b3ca474b28c,acc40daa-3ea2-4d03-b299-7dabcb417992,Metro Bank,Metro Bank,376.5,383.0,760.5,262.0,2264.0,11,0.878
66236d6f-3e07-415b-83f8-5b3ca474b28c,,Metro Bank,,376.5,383.0,760.5,262.0,2264.0,11,0.878
899196be-6602-42b9-bcc2-b445077b7dc4,0e0daaee-0167-4556-a0bd-8f23dfdac025,F45 Training,F45 Training,288.8,313.0,320.0,185.0,349.0,6,0.196
899196be-6602-42b9-bcc2-b445077b7dc4,,F45 Training,,288.8,313.0,320.0,185.0,349.0,6,0.196
f4897b7c-5aa4-44fd-abe3-83ff85eab140,09e6f083-f74f-427a-a42e-edde811a7a8b,Coffi Lab,Coffi Lab,232.0,233.0,274.0,119.0,275.0,5,0.281
f4897b7c-5aa4-44fd-abe3-83ff85eab140,,Coffi Lab,,232.0,233.0,274.0,119.0,275.0,5,0.281
2be512d7-05e7-4732-a4d7-63caeb6bd100,86ed2c27-475f-4de6-a1b2-80e69c2be264,SoBe Burger,SoBe Burger,55.0,76.0,135.0,29.0,425.0,5,1.124
2be512d7-05e7-4732-a4d7-63caeb6bd100,,SoBe Burger,,55.0,76.0,135.0,29.0,425.0,5,1.124
db3b2ba0-56a7-4399-9772-e9210add5715,441f4377-38b4-46eb-a881-e0f59888d632,Shell Recharge,Shell Recharge,256.5,451.0,1008.5,110.0,3267.0,10,1.138
db3b2ba0-56a7-4399-9772-e9210add5715,,Shell Recharge,,256.5,451.0,1008.5,110.0,3267.0,10,1.138
20ae25d3-a04a-4903-8bf9-1a434c7d1966,b2ea96b0-01d7-4c34-b539-cbafd3bfb65c,Slater Menswear,Slater Menswear,582.0,686.0,1278.0,296.0,1536.0,5,0.587
20ae25d3-a04a-4903-8bf9-1a434c7d1966,,Slater Menswear,,582.0,686.0,1278.0,296.0,1536.0,5,0.587
4bd20634-e832-4e34-997c-d98a8be7e35d,c59698b5-7834-48b6-aa70-ad729868e09f,Currys,Currys,1489.8,1796.5,2081.5,1087.0,5549.0,6,0.711
4bd20634-e832-4e34-997c-d98a8be7e35d,,Currys,,1489.8,1796.5,2081.5,1087.0,5549.0,6,0.711
90526635-1c7f-45b9-9010-1b85052ece5a,615dc9b7-7cda-4a64-8c0b-1e52f64a2053,Oliver Bonas,Oliver Bonas,145.0,191.0,293.0,93.0,507.0,9,0.562
90526635-1c7f-45b9-9010-1b85052ece5a,,Oliver Bonas,,145.0,191.0,293.0,93.0,507.0,9,0.562
bf7d11be-b57e-4489-95d4-b83717474a09,5c0a7330-04b0-4179-a7e0-c46ecfbc75f8,IKEA,IKEA,27909.0,30472.0,31938.5,877.0,42851.0,7,0.466
bf7d11be-b57e-4489-95d4-b83717474a09,,IKEA,,27909.0,30472.0,31938.5,877.0,42851.0,7,0.466
8edec75a-8bdf-4886-aeb4-c552161238e6,cdb3e069-97db-4bf5-9b1a-90446b40b60b,Pavers,Pavers,223.0,266.0,446.0,193.0,448.0,5,0.39
8edec75a-8bdf-4886-aeb4-c552161238e6,,Pavers,,223.0,266.0,446.0,193.0,448.0,5,0.39
85d19d56-0a15-53b9-b6ad-63c01896eef8,fa6522f2-25e9-5045-bd4e-e55bf9883918,Aldi,Aldi Local,834.5,939.0,1190.0,727.0,1373.0,7,0.248
1161c53a-cb32-486b-b0f7-f459825b27a7,986439c6-d25d-4ba5-a64f-a27566bb823d,Bill's,Bill's,306.0,398.0,490.0,277.0,744.0,5,0.424
1161c53a-cb32-486b-b0f7-f459825b27a7,,Bill's,,306.0,398.0,490.0,277.0,744.0,5,0.424
502d1cb6-fd8e-4865-8b7d-1e41d81df24a,b41c1402-2213-4c9f-8314-5f55c0c56857,Brook Taverner,Brook Taverner,203.0,211.0,228.0,101.0,260.0,5,0.298
502d1cb6-fd8e-4865-8b7d-1e41d81df24a,,Brook Taverner,,203.0,211.0,228.0,101.0,260.0,5,0.298
ac10894f-75e1-54d9-8dde-e73581d962ee,17323523-a95b-5747-8c1d-eda418e9f52a,Costco,Costco,12211.0,12769.0,12784.0,12107.0,12870.0,5,0.029
ac10894f-75e1-54d9-8dde-e73581d962ee,,Costco,,12211.0,12769.0,12784.0,12107.0,12870.0,5,0.029
