Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01013366,341,82,131,72,50,7,0,0,0
S01013367,170,31,67,42,26,2,3,0,0
S01013368,304,86,117,62,27,11,2,0,0
S01013369,424,191,126,62,31,11,1,2,0
S01013370,355,173,106,38,25,11,2,0,0
S01013371,327,143,116,37,24,8,0,0,0
S01013372,581,237,177,89,59,15,4,0,0
S01013373,452,215,135,55,38,7,2,0,0
S01013374,447,202,132,52,37,16,3,1,2
S01013375,214,82,83,22,20,1,2,2,0
S01013376,265,99,87,44,29,6,4,0,0
S01013377,396,158,143,57,24,9,1,0,0
S01013378,412,150,148,59,45,11,0,0,0
S01013379,325,110,139,47,26,5,1,1,0
S01013380,1266,207,469,303,205,65,9,3,4
S01013381,191,68,63,38,19,5,2,0,0
S01013382,223,55,84,46,29,9,2,0,0
S01013383,382,188,103,49,27,9,5,0,0
S01013384,376,144,100,56,59,10,5,1,0
S01013385,208,73,86,19,20,4,2,0,0
S01013386,302,69,128,48,56,7,1,0,0
S01013387,259,75,84,52,36,7,7,0,0
S01013388,401,205,106,59,23,9,2,0,0
S01013389,329,128,107,53,29,4,5,0,0
S01013390,206,82,67,34,16,6,1,0,0
S01013391,166,42,61,25,25,7,2,0,1
S01013392,287,41,90,62,67,22,5,0,0
S01013393,337,129,114,45,36,9,2,1,2
S01013394,284,106,87,45,32,7,5,1,0
S01013395,301,138,87,52,23,4,4,0,0
S01013396,263,47,88,67,45,11,4,0,2
S01013397,370,121,138,57,48,10,2,0,1
S01013398,184,22,60,39,50,14,3,1,0
S01013399,395,82,113,76,90,23,7,4,0
S01013400,435,194,142,59,29,7,2,4,0
S01013401,1283,285,345,248,306,81,11,5,1
S01013402,457,109,128,83,108,26,5,0,0
S01013403,379,100,126,64,75,15,0,0,0
S01013404,220,52,79,32,45,9,0,1,0
S01013405,291,114,111,43,19,3,1,0,0
S01013406,284,93,99,48,31,11,3,1,0
S01013407,261,113,79,28,32,8,1,0,0
S01013408,289,118,81,49,31,14,4,0,0
S01013409,414,129,146,76,48,8,2,2,0
S01013410,298,131,87,38,32,11,1,0,0
S01013411,334,133,104,57,30,8,1,0,0
S01013412,333,127,113,46,37,4,7,0,0
S01013413,338,111,112,53,48,13,2,0,0
S01013414,462,287,122,34,16,6,0,0,0
