Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01012597,185,161,86,53,22,24,23,1,0,0
S01012598,301,246,122,106,18,55,55,0,0,0
S01012599,318,216,128,61,27,102,89,11,4,0
S01012600,309,285,117,155,15,24,21,3,0,0
S01012601,382,335,195,134,6,47,47,0,0,0
S01012602,351,149,39,85,23,203,187,4,15,1
S01012603,321,213,48,116,49,108,106,1,1,0
S01012604,279,267,54,42,177,12,11,0,1,0
S01012605,243,234,71,61,105,9,8,0,1,0
S01012606,278,275,218,42,15,3,3,0,0,0
S01012607,332,307,131,90,86,25,25,0,0,0
S01012608,369,358,83,108,167,11,10,1,0,0
S01012609,375,326,30,58,235,52,52,0,0,0
S01012610,469,244,54,103,87,226,223,0,0,0
S01012611,492,470,252,116,103,19,21,1,1,0
S01012612,297,284,89,110,89,16,11,1,0,0
S01012613,277,251,90,54,107,26,26,0,0,0
S01012614,506,356,140,154,62,148,128,6,14,2
S01012615,351,310,219,37,54,41,39,1,0,0
S01012616,413,385,244,67,76,30,26,4,0,0
S01012617,352,344,223,86,32,8,8,0,0,0
S01012618,216,203,111,37,59,13,12,1,0,0
S01012619,298,157,48,73,36,142,119,21,2,0
S01012620,344,296,243,39,15,45,34,13,1,0
S01012621,275,236,143,64,29,43,38,3,0,0
S01012622,342,312,97,113,102,29,29,0,0,0
S01012623,323,188,20,97,71,135,130,5,0,0
S01012624,345,244,19,74,151,101,82,9,11,0
S01012625,259,205,12,56,139,54,52,2,0,0
S01012626,223,210,111,72,30,13,13,0,0,0
S01012627,268,133,50,47,36,134,119,15,0,0
S01012628,465,398,285,30,87,63,48,8,5,0
S01012629,212,170,124,45,5,42,34,7,1,0
S01012630,538,210,117,39,54,327,285,18,20,1
S01012631,319,225,89,78,56,100,96,3,1,0
S01012632,326,316,234,57,25,10,7,3,0,0
S01012633,276,251,196,32,23,27,27,0,0,0
S01012634,336,210,66,64,84,87,86,4,0,36
S01012635,520,443,274,80,88,80,73,3,2,4
S01012636,308,300,195,63,42,6,5,0,1,2
S01012637,319,176,26,131,19,142,141,0,1,1
S01012638,413,328,102,101,125,84,80,2,1,0
S01012639,380,337,77,167,94,42,41,1,0,0
S01012640,407,368,77,169,123,36,36,0,0,0
S01012641,484,321,122,110,86,164,160,3,1,0
S01012642,375,243,28,57,162,130,129,2,0,2
S01012643,197,185,11,76,102,12,11,1,0,0
S01012644,305,208,44,71,97,97,96,2,0,0
S01012645,376,271,146,82,43,105,89,11,4,0
S01012646,408,359,224,117,18,48,50,1,0,1
S01012647,248,243,99,117,27,2,4,1,0,0
S01012648,227,226,12,32,182,4,3,1,0,0
S01012649,253,220,91,89,40,33,32,1,0,0
S01012650,320,295,137,138,20,22,19,0,1,0
S01012651,333,269,23,90,155,64,64,0,0,0
S01012652,451,409,251,148,7,45,45,0,0,0
S01012653,383,371,161,55,155,12,12,0,0,0
S01012654,584,558,283,147,121,26,24,2,0,0
S01012655,440,319,166,117,37,111,110,0,1,10
S01012656,384,330,43,50,241,49,46,3,0,1
S01012657,267,173,25,112,36,94,93,1,0,0
S01012658,412,396,109,212,75,16,13,3,0,0
S01012659,359,355,217,88,46,4,4,0,0,0
S01012660,341,276,54,140,82,65,65,0,0,0
S01012661,365,332,135,86,113,30,24,0,7,0
S01012662,413,244,56,49,135,169,168,0,0,0
S01012663,299,275,89,86,100,24,20,3,1,0
S01012664,473,294,61,91,142,179,150,12,17,0
S01012665,348,310,23,116,171,41,36,1,0,0
S01012666,317,312,22,79,210,9,9,0,0,0
S01012667,285,221,46,132,33,68,67,1,0,0
S01012668,322,231,26,87,118,90,88,0,0,1
S01012669,264,261,35,160,66,3,3,0,0,0
S01012670,298,293,76,111,106,5,3,3,0,0
S01012671,394,366,44,70,252,27,26,0,0,0
S01012672,386,310,22,93,192,76,75,0,0,0
S01012673,252,239,19,63,155,14,14,1,0,0
S01012674,245,207,16,40,151,41,41,0,0,0
S01012675,390,337,51,86,202,51,47,4,0,2
S01012676,302,290,29,69,192,10,10,0,2,0
S01012677,273,239,44,44,155,29,31,1,0,0
S01012678,338,334,59,241,34,4,4,0,0,0
S01012679,361,271,139,73,56,90,87,3,0,0
S01012680,222,213,133,46,34,8,8,0,0,1
S01012681,405,343,147,97,101,60,53,5,2,2
S01012682,303,280,130,70,84,27,20,6,0,0
S01012683,330,264,44,66,157,66,64,2,0,0
S01012684,229,196,51,90,53,33,32,0,0,0
S01012685,321,305,31,82,188,14,15,1,0,0
S01012686,426,304,161,112,31,123,85,27,7,0
S01012687,241,233,175,58,3,3,3,0,0,0
S01012688,450,163,51,60,55,287,219,44,27,0
S01012689,195,182,105,61,12,13,9,4,0,0
S01012690,197,190,69,130,2,5,5,0,0,0
S01012691,283,247,207,22,18,36,33,3,0,0
S01012692,336,248,66,108,74,88,83,5,0,0
S01012693,402,394,354,32,8,8,4,3,0,0
S01012694,190,185,54,42,89,6,4,1,0,0
S01012695,321,311,200,89,26,0,1,0,0,4
S01012696,347,334,264,43,29,11,4,3,1,3
S01012697,393,383,272,56,55,8,10,1,0,1
S01012698,385,366,247,48,75,20,17,2,1,0
S01012699,570,538,304,103,133,30,27,3,0,0
S01012700,316,300,189,69,46,19,17,2,0,1
S01012701,523,513,270,214,31,6,6,0,0,0
S01012702,487,355,169,124,62,132,129,1,2,0
S01012703,202,196,136,12,48,6,6,0,0,0
S01012704,325,281,18,67,198,44,44,0,0,0
S01012705,249,244,116,119,9,5,5,0,0,0
S01012706,310,275,26,68,181,35,33,1,1,0
S01012707,293,289,126,161,2,4,4,0,0,0
S01012708,291,110,17,39,54,181,181,0,0,0
S01012709,295,220,39,104,74,75,74,2,0,0
S01012710,354,164,64,74,23,193,186,7,0,0
S01012711,456,195,28,90,77,258,255,0,3,0
S01012712,314,309,184,125,1,5,5,0,0,0
S01012713,334,246,52,176,19,88,84,2,0,0
S01012714,279,244,131,100,12,35,28,5,2,0
S01012715,361,117,25,69,20,247,237,0,10,0
S01012716,380,276,193,77,4,104,101,3,0,0
S01012717,659,170,57,86,25,489,472,5,12,0
S01012718,458,131,41,73,16,328,299,24,4,0
S01012719,547,156,54,48,54,391,375,12,4,0
S01012720,277,35,31,6,2,237,216,1,15,1
S01012721,283,243,13,180,48,42,41,1,0,0
S01012722,387,119,8,105,8,266,263,1,2,0
S01012723,364,138,6,122,10,226,227,2,0,0
S01012724,395,146,17,105,26,248,248,0,0,0
S01012725,467,133,73,45,15,334,327,7,0,0
S01012726,265,204,11,110,86,59,57,0,1,0
S01012727,256,210,14,96,97,52,52,0,0,0
S01012728,326,153,13,81,62,176,173,0,1,0
S01012729,340,277,54,163,58,66,66,0,0,0
S01012730,261,180,8,21,151,81,84,1,0,0
S01012731,324,274,16,136,122,50,50,0,0,0
S01012732,277,270,9,27,234,7,7,0,0,0
S01012733,872,812,653,81,78,59,58,1,0,2
S01012734,192,189,168,18,2,3,3,0,0,0
S01012735,215,154,11,12,131,61,61,0,0,0
S01012736,387,346,48,220,78,41,41,0,0,0
S01012737,315,273,62,78,133,42,42,0,0,0
S01012738,251,215,36,87,91,41,36,2,0,0
S01012739,292,287,218,55,18,5,1,2,0,0
S01012740,329,310,227,46,37,19,16,3,1,0
S01012741,262,230,74,117,42,31,28,2,0,0
S01012742,274,272,124,146,6,2,2,0,0,0
S01012743,231,231,97,130,4,0,0,0,0,0
S01012744,268,264,87,164,18,5,5,0,0,0
S01012745,438,421,213,178,30,17,15,2,1,0
S01012746,301,294,76,120,94,7,10,1,0,0
S01012747,338,326,88,130,107,12,12,0,0,0
S01012748,358,254,13,115,126,104,103,1,0,0
