Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01009943,678,14,97,40,0,25
S01009944,469,5,152,9,1,15
S01009945,809,9,137,24,1,30
S01009946,654,29,131,16,0,8
S01009947,523,8,73,2,1,5
S01009948,608,28,82,44,3,65
S01009949,640,11,97,26,4,12
S01009950,554,14,80,1,0,5
S01009951,575,16,67,3,1,9
S01009952,639,6,26,1,2,2
S01009953,649,11,158,17,0,15
S01009954,470,23,237,7,0,12
S01009955,1015,41,91,45,0,5
S01009956,570,23,91,20,2,7
S01009957,644,18,53,4,0,5
S01009958,816,13,71,4,0,4
S01009959,574,17,35,0,0,2
S01009960,675,3,71,2,0,2
S01009961,593,17,45,1,4,2
S01009962,864,11,73,0,0,8
S01009963,721,8,16,3,1,2
S01009964,881,17,109,0,0,0
S01009965,751,3,32,6,0,4
S01009966,620,7,25,0,1,3
S01009967,732,9,28,4,1,4
S01009968,509,4,33,5,3,1
S01009969,756,5,27,4,1,3
S01009970,708,23,101,64,3,11
S01009971,971,14,80,55,6,20
S01009972,797,6,42,14,0,2
S01009973,615,4,18,2,0,13
S01009974,552,2,15,13,0,4
S01009975,893,6,2,43,0,5
S01009976,411,3,6,21,0,4
S01009977,628,13,7,18,0,1
S01009978,927,7,33,61,3,9
S01009979,568,6,47,38,2,13
S01009980,783,7,20,25,0,26
S01009981,626,1,22,12,0,3
S01009982,880,11,76,24,2,21
S01009983,515,6,17,74,3,19
S01009984,596,10,44,28,0,17
S01009985,465,5,17,25,0,31
S01009986,407,2,6,43,0,21
S01009987,780,2,22,24,0,16
S01009988,452,12,25,25,0,11
S01009989,716,13,49,19,0,24
S01009990,589,5,41,9,1,0
S01009991,578,7,50,13,1,30
S01009992,703,8,25,16,2,10
S01009993,639,6,59,8,5,3
S01009994,648,4,37,13,0,14
S01009995,481,27,11,12,1,12
S01009996,500,5,24,33,11,3
S01009997,493,11,82,15,5,5
S01009998,506,5,91,2,0,1
S01009999,607,2,33,5,0,8
S01010000,412,9,73,10,4,8
S01010001,640,0,87,0,2,2
S01010002,581,10,87,14,3,33
S01010003,575,7,21,2,0,4
S01010004,555,9,68,1,0,1
S01010005,1038,22,74,13,0,18
S01010006,1106,22,52,16,0,13
S01010007,794,12,40,0,3,4
S01010008,670,12,30,4,1,12
S01010009,524,9,20,8,1,7
S01010010,960,10,77,11,5,1
S01010011,657,3,40,7,5,9
S01010012,748,10,83,5,0,12
S01010013,790,7,62,0,1,14
S01010014,827,25,107,3,3,20
S01010015,601,18,51,4,1,14
S01010016,676,11,107,56,0,4
S01010017,475,11,88,54,2,16
S01010018,1034,17,216,57,3,11
S01010019,636,19,51,71,2,18
S01010020,635,7,65,23,0,3
S01010021,568,15,140,52,2,17
S01010022,1720,52,332,117,4,65
S01010023,423,12,37,37,2,15
S01010024,631,7,73,69,6,45
S01010025,379,7,81,73,0,29
S01010026,659,24,98,104,10,15
S01010027,688,13,133,28,3,25
S01010028,465,12,53,46,0,35
S01010029,502,12,66,29,0,7
S01010030,568,16,195,16,4,15
S01010031,568,17,127,7,4,32
S01010032,588,35,131,10,5,21
S01010033,945,49,410,69,9,72
S01010034,1060,40,248,243,9,102
S01010035,213,9,49,39,1,4
S01010036,488,23,221,43,1,54
S01010037,587,3,41,41,2,58
S01010038,765,9,111,89,2,44
S01010039,730,19,109,18,6,46
S01010040,610,10,92,80,4,23
S01010041,631,17,115,34,5,32
S01010042,769,23,110,37,3,55
S01010043,623,12,68,40,3,29
S01010044,871,19,131,41,0,32
S01010045,439,11,95,131,2,41
S01010046,1043,7,72,122,6,27
S01010047,580,7,58,124,0,62
S01010048,1792,26,190,150,4,41
S01010049,602,12,32,145,1,35
S01010050,1286,20,91,207,6,51
S01010051,769,16,24,81,1,28
S01010052,874,13,53,95,4,22
S01010053,615,10,151,95,0,29
S01010054,688,3,34,44,1,6
S01010055,857,13,63,79,5,32
S01010056,542,8,21,33,0,6
S01010057,494,4,15,42,1,4
S01010058,669,2,24,12,0,1
S01010059,502,9,19,5,1,8
S01010060,745,7,33,25,4,9
S01010061,428,1,56,12,0,0
S01010062,850,10,25,21,0,3
S01010063,895,17,68,39,0,5
S01010064,446,4,9,4,3,8
S01010065,713,10,3,26,2,5
S01010066,669,5,15,42,2,0
S01010067,565,11,29,54,1,13
S01010068,1275,12,182,107,3,33
S01010069,679,4,58,5,4,0
S01010070,517,4,29,0,2,0
S01010071,653,0,60,8,6,2
S01010072,699,2,17,11,0,6
S01010073,698,11,13,3,0,2
S01010074,682,1,30,5,1,0
S01010075,592,0,11,3,0,0
S01010076,584,0,9,11,4,0
S01010077,557,0,18,0,1,2
S01010078,522,8,29,1,0,6
S01010079,794,9,17,5,0,2
S01010080,602,7,13,4,0,6
S01010081,581,1,10,1,0,1
S01010082,745,5,22,4,4,10
S01010083,568,5,7,2,1,2
S01010084,766,5,13,19,2,1
S01010085,654,0,6,0,0,2
S01010086,799,6,12,2,0,4
S01010087,537,0,12,0,0,5
S01010088,3491,44,260,27,0,33
S01010089,483,1,41,7,1,10
S01010090,822,6,25,4,2,7
S01010091,802,27,95,7,4,12
S01010092,732,5,31,4,0,7
S01010093,676,6,37,4,2,0
S01010094,609,1,19,0,0,0
S01010095,582,3,0,0,0,0
S01010096,622,6,16,0,1,1
S01010097,664,0,9,0,0,0
S01010098,656,4,20,4,0,0
S01010099,637,0,7,4,0,2
S01010100,696,5,30,11,0,0
S01010101,658,0,18,4,0,3
S01010102,612,3,39,0,0,0
S01010103,972,3,52,2,1,8
S01010104,856,5,26,6,0,2
S01010105,363,0,6,17,0,8
S01010106,183,1,5,0,0,1
S01010107,535,12,45,29,8,7
S01010108,615,2,12,11,1,2
S01010109,968,15,25,17,0,10
S01010110,769,3,31,13,4,2
S01010111,674,14,0,5,2,1
S01010112,947,5,9,21,0,0
S01010113,546,2,53,60,5,4
S01010114,659,10,10,39,1,3
S01010115,392,0,5,7,2,1
S01010116,1234,15,127,59,4,37
S01010117,1354,17,194,90,1,22
S01010118,649,7,35,49,1,9
S01010119,458,5,6,22,0,6
S01010120,1042,21,24,35,0,4
S01010121,431,8,3,23,0,0
S01010122,460,0,5,7,0,0
S01010123,687,12,6,15,2,22
S01010124,570,3,12,51,3,3
S01010125,372,4,23,23,0,6
S01010126,712,1,9,4,0,8
S01010127,579,2,4,6,4,5
S01010128,419,8,12,95,1,22
S01010129,665,11,17,47,12,23
S01010130,771,11,36,50,6,11
S01010131,770,2,39,2,0,0
S01010132,823,3,11,18,5,10
S01010133,584,8,16,40,3,4
S01010134,936,5,37,20,0,9
S01010135,683,8,22,41,0,3
S01010136,721,7,28,5,0,4
S01010137,846,10,27,12,0,2
S01010138,649,5,29,65,3,37
S01010139,842,5,24,21,1,7
S01010140,677,6,54,9,1,11
S01010141,784,5,35,26,10,29
S01010142,656,2,23,12,1,8
S01010143,698,4,17,5,0,2
S01010144,600,9,44,26,1,9
S01010145,651,11,27,16,0,14
S01010146,575,8,23,35,0,3
S01010147,819,22,26,32,1,22
S01010148,1073,20,86,66,3,39
S01010149,1075,12,73,28,0,23
S01010150,753,6,21,19,4,15
S01010151,696,7,33,21,3,23
S01010152,659,5,30,12,2,5
S01010153,888,8,23,17,2,3
S01010154,799,0,29,22,3,9
S01010155,724,6,12,11,0,11
S01010156,443,8,10,5,2,12
S01010157,549,3,15,16,0,14
S01010158,764,2,8,10,3,16
S01010159,675,1,16,20,1,12
S01010160,333,11,32,80,1,31
S01010161,531,2,53,29,0,14
S01010162,624,15,40,120,1,38
S01010163,743,3,37,64,2,8
S01010164,751,6,28,43,0,8
S01010165,628,8,15,77,3,0
S01010166,921,18,91,62,1,6
S01010167,678,6,18,16,1,5
S01010168,426,4,22,21,0,5
S01010169,641,9,20,52,5,11
S01010170,437,6,2,10,0,4
S01010171,912,5,41,39,3,9
S01010172,668,17,35,20,0,9
S01010173,695,5,8,34,1,8
S01010174,1247,17,38,37,5,11
S01010175,432,7,21,19,1,17
S01010176,691,2,5,2,1,2
S01010177,569,2,6,90,6,42
S01010178,791,7,15,66,13,23
S01010179,682,8,52,30,1,7
S01010180,588,13,150,62,1,27
S01010181,483,13,1,48,0,7
S01010182,514,10,47,3,0,7
S01010183,394,0,10,42,0,18
S01010184,522,2,12,54,0,12
S01010185,613,4,41,115,1,6
S01010186,481,4,95,6,0,12
S01010187,496,2,6,0,0,3
S01010188,1394,17,382,34,3,62
S01010189,757,5,129,3,0,39
S01010190,546,14,282,4,3,23
S01010191,596,7,47,9,1,18
S01010192,596,3,202,11,2,21
S01010193,662,4,85,2,0,21
S01010194,596,1,3,20,1,0
S01010195,485,6,23,36,0,15
S01010196,565,2,11,10,2,13
S01010197,583,1,11,4,0,10
S01010198,941,15,21,21,3,14
S01010199,491,4,19,50,0,19
S01010200,583,11,21,32,2,13
S01010201,575,7,8,16,5,1
S01010202,591,5,33,143,0,13
S01010203,533,3,70,6,1,8
S01010204,574,6,27,54,8,14
S01010205,430,5,29,49,1,0
S01010206,0,0,0,0,0,0
S01010207,204,0,19,14,1,13
S01010208,702,3,85,113,1,13
S01010209,829,11,48,157,5,25
S01010210,747,10,31,29,3,12
S01010211,608,6,23,49,3,22
S01010212,953,24,100,121,3,54
S01010213,805,5,30,19,0,10
S01010214,768,14,81,7,0,17
S01010215,695,10,39,90,3,43
S01010216,372,5,40,97,2,60
S01010217,310,14,74,138,8,58
S01010218,679,21,92,112,4,60
S01010219,73,4,6,36,1,9
S01010220,353,11,91,14,1,14
S01010221,532,11,75,52,0,34
S01010222,459,10,37,171,5,38
S01010223,387,6,33,46,3,28
S01010224,801,19,99,151,9,42
S01010225,524,20,104,113,4,51
S01010226,0,0,0,0,0,0
S01010227,0,0,0,0,0,0
S01010228,807,13,42,191,2,36
S01010229,1036,9,75,115,4,29
S01010230,480,18,140,371,7,154
S01010231,756,10,30,120,7,41
S01010232,573,9,52,95,3,43
S01010233,552,8,42,134,2,28
S01010234,836,28,72,23,1,19
S01010235,649,17,102,20,0,7
S01010236,611,23,82,10,3,13
S01010237,582,14,56,11,1,7
S01010238,664,11,28,11,1,24
S01010239,657,3,41,16,1,31
S01010240,630,9,12,8,2,3
S01010241,853,24,23,19,3,12
S01010242,551,8,21,11,6,16
S01010243,798,16,79,35,5,42
S01010244,518,10,10,33,2,4
S01010245,688,7,8,45,1,10
S01010246,725,13,49,25,0,34
S01010247,662,5,41,8,2,19
S01010248,757,15,31,22,1,9
S01010249,571,12,34,19,2,13
S01010250,663,21,29,4,5,7
S01010251,506,20,40,10,1,10
S01010252,521,10,41,18,0,1
S01010253,528,6,46,33,0,22
S01010254,777,15,43,25,3,19
S01010255,595,4,103,204,5,80
S01010256,787,12,23,14,0,18
S01010257,1356,61,604,81,11,135
S01010258,859,45,380,43,5,83
S01010259,1095,47,544,194,10,154
S01010260,1393,70,447,114,6,171
S01010261,1968,80,997,215,10,283
S01010262,611,9,81,52,1,53
S01010263,525,21,97,16,2,19
S01010264,711,28,101,46,2,46
S01010265,656,31,153,20,3,72
S01010266,461,33,142,18,4,20
S01010267,454,41,197,18,2,40
S01010268,636,26,109,12,4,54
S01010269,338,19,94,8,2,29
S01010270,1330,60,469,84,6,144
S01010271,893,47,390,20,6,67
S01010272,674,34,208,80,6,86
S01010273,483,38,282,14,6,79
S01010274,699,27,252,34,1,95
S01010275,538,30,114,20,2,74
S01010276,652,29,259,30,1,79
S01010277,583,22,128,46,1,21
S01010278,414,31,183,41,4,47
S01010279,445,29,141,33,3,35
S01010280,679,28,217,12,2,34
S01010281,551,19,207,18,1,59
S01010282,773,24,165,12,0,25
S01010283,824,52,108,23,4,24
S01010284,1493,58,766,61,7,130
S01010285,619,36,144,19,0,21
S01010286,1501,91,768,56,9,108
S01010287,596,34,87,14,0,13
S01010288,988,44,191,19,2,35
S01010289,792,27,73,14,3,9
S01010290,580,19,96,7,4,16
S01010291,850,37,239,19,1,45
S01010292,683,34,94,9,4,24
S01010293,645,33,276,34,2,42
S01010294,535,26,124,1,4,14
S01010295,771,26,181,11,2,35
S01010296,423,19,180,24,5,28
S01010297,784,27,427,59,1,61
S01010298,664,23,92,14,3,33
S01010299,404,20,133,23,2,39
S01010300,705,32,142,16,2,28
S01010301,211,9,125,21,0,38
S01010302,414,14,170,37,1,47
S01010303,282,11,182,156,2,72
S01010304,510,22,115,62,1,31
S01010305,722,17,91,40,2,14
S01010306,485,19,94,8,2,12
S01010307,713,18,41,4,0,8
S01010308,900,26,126,15,0,13
S01010309,218,3,18,1,1,7
S01010310,393,9,98,124,2,47
S01010311,512,2,126,59,15,35
S01010312,691,4,39,108,2,29
S01010313,455,9,43,87,2,19
S01010314,1206,32,225,48,2,57
S01010315,662,17,125,42,6,22
S01010316,490,16,56,32,3,12
S01010317,863,26,75,12,2,21
S01010318,1649,51,395,73,7,56
S01010319,576,15,91,8,2,9
S01010320,676,26,63,27,4,18
S01010321,720,20,26,35,5,19
S01010322,837,23,47,9,2,6
S01010323,501,9,45,53,0,27
S01010324,691,5,7,22,0,10
S01010325,862,6,26,13,0,4
S01010326,836,14,234,89,7,55
S01010327,721,4,139,52,6,40
S01010328,803,3,155,24,0,22
S01010329,504,11,51,9,0,12
S01010330,507,8,9,33,4,34
S01010331,782,12,76,37,0,19
S01010332,722,6,42,53,1,31
S01010333,872,18,75,45,5,20
S01010334,980,14,26,37,0,14
S01010335,771,22,30,44,4,29
S01010336,450,8,8,130,0,28
S01010337,676,5,28,32,3,33
S01010338,400,5,21,82,1,16
S01010339,511,6,4,20,0,20
S01010340,687,2,29,47,3,14
S01010341,548,7,33,25,0,24
S01010342,509,3,12,0,0,8
S01010343,759,3,32,6,0,0
S01010344,558,9,32,84,3,29
S01010345,683,26,107,15,2,21
S01010346,812,12,64,9,0,3
S01010347,883,28,127,88,7,33
S01010348,755,8,23,0,1,3
S01010349,748,4,28,14,1,12
S01010350,820,13,34,114,6,41
S01010351,730,17,48,42,1,37
S01010352,443,22,15,51,1,4
S01010353,578,10,169,178,3,82
S01010354,555,28,60,52,6,17
S01010355,685,16,52,74,3,20
S01010356,741,10,37,25,1,2
S01010357,388,18,25,43,6,21
S01010358,700,14,65,47,3,37
S01010359,673,20,43,124,3,49
S01010360,560,11,78,94,0,36
S01010361,516,13,52,88,0,20
S01010362,538,13,62,51,5,29
S01010363,622,29,100,10,4,19
S01010364,866,13,78,2,0,11
S01010365,805,20,74,2,0,13
S01010366,837,17,120,11,0,32
S01010367,1390,62,267,28,2,38
S01010368,751,22,46,1,2,28
S01010369,551,35,50,13,0,15
S01010370,664,31,30,7,0,7
S01010371,1010,29,62,7,0,34
S01010372,551,27,37,2,0,9
S01010373,709,32,37,16,1,10
S01010374,830,31,47,3,2,10
S01010375,515,27,55,5,0,13
S01010376,530,27,126,7,0,24
S01010377,696,41,142,12,6,47
S01010378,630,25,78,9,1,20
S01010379,926,33,142,11,1,37
S01010380,859,36,47,4,4,43
S01010381,407,17,92,10,0,18
S01010382,670,30,42,10,4,20
S01010383,487,17,99,18,4,26
S01010384,1054,60,580,34,6,67
S01010385,710,30,56,10,1,25
S01010386,956,45,373,34,7,64
S01010387,1457,67,570,32,4,80
S01010388,816,12,97,16,2,41
S01010389,810,18,194,17,1,96
S01010390,960,28,99,8,1,25
S01010391,658,27,61,13,3,21
S01010392,508,25,125,18,0,108
S01010393,868,16,81,10,2,7
S01010394,794,23,50,50,0,34
S01010395,872,26,75,12,0,36
S01010396,879,26,116,13,1,23
S01010397,595,14,33,3,3,5
S01010398,971,19,52,4,0,7
S01010399,994,30,57,13,1,12
S01010400,951,35,70,4,5,20
S01010401,696,18,38,5,0,13
S01010402,923,26,46,3,5,14
S01010403,977,30,49,3,2,21
S01010404,855,24,34,10,1,14
S01010405,869,38,39,3,5,15
S01010406,805,34,62,5,2,19
S01010407,759,29,83,9,5,46
S01010408,503,14,62,0,0,11
S01010409,479,3,44,1,0,4
S01010410,629,11,78,5,6,14
S01010411,958,29,82,5,0,22
S01010412,772,16,41,0,1,6
S01010413,738,20,56,4,3,19
S01010414,845,23,115,4,0,15
S01010415,904,37,141,15,1,22
S01010416,575,15,44,0,2,7
S01010417,530,14,31,5,0,2
S01010418,976,25,26,3,0,12
S01010419,910,23,23,5,2,2
S01010420,635,11,47,5,0,13
S01010421,752,20,39,0,2,4
S01010422,969,5,56,7,2,1
S01010423,679,19,29,42,0,27
S01010424,655,14,58,46,2,33
S01010425,814,28,97,48,4,11
S01010426,528,20,55,19,0,31
S01010427,528,23,189,102,4,133
S01010428,585,18,61,2,0,15
S01010429,949,24,51,14,2,8
S01010430,615,34,157,76,6,89
S01010431,603,6,9,0,0,6
S01010432,630,15,94,26,0,50
S01010433,280,11,82,72,3,140
S01010434,430,21,95,77,5,62
S01010435,552,8,36,10,6,7
S01010436,604,19,81,35,1,58
S01010437,451,19,63,7,2,4
S01010438,596,21,62,123,5,20
S01010439,723,5,64,52,8,44
S01010440,609,12,26,29,3,7
S01010441,799,19,64,33,1,29
S01010442,610,13,51,39,4,17
S01010443,517,2,31,15,0,7
S01010444,561,7,28,17,2,9
S01010445,802,8,49,19,0,10
S01010446,730,1,24,10,1,1
S01010447,841,6,80,21,2,16
S01010448,647,7,56,8,0,16
S01010449,696,11,3,4,0,17
S01010450,699,12,35,10,7,8
S01010451,652,15,113,89,6,55
S01010452,694,10,39,12,0,16
S01010453,459,11,87,42,2,39
S01010454,783,7,27,2,0,3
S01010455,638,11,23,42,4,32
S01010456,496,3,16,16,1,2
S01010457,386,8,15,5,0,4
S01010458,572,7,56,46,0,28
S01010459,441,10,10,2,0,1
S01010460,572,7,77,6,2,18
S01010461,561,7,63,26,0,41
S01010462,314,11,184,185,2,276
S01010463,725,14,20,6,1,8
S01010464,467,14,27,2,0,3
S01010465,707,30,89,20,1,37
S01010466,676,21,75,5,1,11
S01010467,660,12,108,14,1,28
S01010468,687,20,150,17,3,26
S01010469,497,22,70,2,4,26
S01010470,700,5,41,11,2,13
S01010471,569,16,45,44,5,8
S01010472,605,14,76,27,0,45
S01010473,618,16,90,18,2,23
S01010474,525,22,99,5,5,18
S01010475,618,15,76,10,5,17
S01010476,1105,24,101,18,5,49
S01010477,704,17,57,14,0,29
S01010478,692,12,24,13,4,38
S01010479,927,11,43,35,7,33
S01010480,541,12,46,4,3,23
S01010481,473,11,37,51,6,36
S01010482,733,18,10,14,0,7
S01010483,1005,14,61,5,4,21
S01010484,474,15,24,30,1,1
S01010485,865,11,64,16,0,7
S01010486,821,5,27,2,0,5
S01010487,1022,6,21,14,3,33
S01010488,553,23,46,69,7,35
S01010489,965,19,22,35,16,21
S01010490,516,14,42,54,0,13
S01010491,667,12,17,53,4,20
S01010492,551,14,14,17,2,13
S01010493,683,6,18,15,0,4
S01010494,481,4,33,16,1,2
S01010495,741,6,35,19,1,11
S01010496,842,22,17,75,0,33
S01010497,508,7,9,10,0,1
S01010498,882,5,17,17,2,5
S01010499,814,11,23,36,1,45
S01010500,822,29,78,30,2,19
S01010501,1050,8,23,20,1,12
S01010502,708,12,7,13,0,1
S01010503,538,16,30,55,3,5
S01010504,593,2,1,0,0,3
S01010505,530,4,2,0,0,1
S01010506,915,2,4,0,0,8
S01010507,685,7,4,1,0,2
S01010508,1088,8,2,0,1,0
S01010509,946,6,1,2,0,3
S01010510,996,11,0,0,0,2
S01010511,828,5,3,0,1,1
S01010512,592,3,0,4,0,0
S01010513,737,2,5,1,1,0
S01010514,631,1,9,0,0,4
S01010515,693,1,13,0,0,1
S01010516,616,3,17,1,0,1
S01010517,736,10,10,0,0,9
S01010518,577,4,9,0,0,1
S01010519,716,10,3,0,0,0
S01010520,819,12,6,0,1,2
S01010521,745,7,9,0,0,2
S01010522,713,9,36,1,1,1
S01010523,629,6,19,0,0,0
S01010524,520,2,14,0,0,0
S01010525,629,3,0,0,0,1
S01010526,808,5,46,1,0,0
S01010527,856,9,8,1,1,3
S01010528,691,7,0,1,0,0
S01010529,733,9,0,0,0,2
S01010530,614,7,15,2,0,0
S01010531,1098,8,5,2,0,0
S01010532,406,2,0,0,0,2
S01010533,539,2,2,0,0,1
S01010534,807,4,2,0,0,0
S01010535,644,5,4,2,2,0
S01010536,684,1,13,0,0,2
S01010537,598,10,18,4,1,4
S01010538,958,9,6,3,0,0
S01010539,907,3,8,0,0,3
S01010540,506,9,3,0,0,0
S01010541,906,3,7,0,0,4
S01010542,819,8,1,2,1,2
S01010543,509,6,0,0,0,4
S01010544,838,4,0,0,0,0
S01010545,759,10,8,0,0,2
S01010546,694,5,4,2,0,0
S01010547,767,4,2,0,0,1
S01010548,708,1,2,0,3,0
S01010549,1767,11,10,0,0,2
S01010550,504,3,5,0,0,2
S01010551,778,0,0,0,0,0
S01010552,683,5,6,1,0,1
S01010553,582,4,0,0,0,0
S01010554,574,11,5,0,4,4
S01010555,707,11,16,0,1,2
S01010556,894,3,9,0,0,0
S01010557,531,4,0,1,0,1
S01010558,774,10,4,1,0,1
S01010559,752,4,10,0,0,3
S01010560,564,3,11,3,1,1
S01010561,632,5,12,0,0,0
S01010562,674,5,2,1,2,2
S01010563,472,5,5,4,1,0
S01010564,438,2,0,0,0,0
S01010565,550,3,3,0,0,4
S01010566,1241,4,1,2,4,1
S01010567,1132,4,4,0,0,5
S01010568,1667,16,9,0,4,6
S01010569,1097,15,27,5,5,61
S01010570,935,5,1,2,2,4
S01010571,656,5,11,10,1,4
S01010572,629,4,13,3,0,4
S01010573,479,3,2,3,0,1
S01010574,513,7,8,2,0,3
S01010575,644,3,9,8,1,0
S01010576,784,8,7,2,0,0
S01010577,722,15,7,1,0,0
S01010578,471,10,20,0,0,1
S01010579,628,2,11,0,4,0
S01010580,599,6,15,1,0,7
S01010581,410,7,22,0,0,3
S01010582,1709,23,52,3,2,6
S01010583,857,3,13,0,0,0
S01010584,919,3,19,2,4,1
S01010585,825,11,17,2,0,0
S01010586,720,12,24,0,2,0
S01010587,593,7,11,0,0,2
S01010588,588,7,10,2,0,0
S01010589,453,1,0,2,0,1
S01010590,795,5,10,2,0,6
S01010591,1384,4,20,3,0,5
S01010592,419,6,11,2,2,0
S01010593,1741,10,17,4,0,15
S01010594,590,6,34,4,2,0
S01010595,714,5,25,6,0,8
S01010596,1795,25,51,5,0,4
S01010597,770,6,13,0,0,8
S01010598,922,5,16,10,1,0
S01010599,1869,30,29,17,2,2
S01010600,1092,17,33,2,2,1
S01010601,622,8,16,0,0,5
S01010602,474,4,4,1,0,1
S01010603,728,0,11,0,1,1
S01010604,421,3,13,0,0,0
S01010605,1002,3,7,0,0,0
S01010606,752,16,17,0,0,10
S01010607,676,8,2,3,0,2
S01010608,608,5,11,2,0,4
S01010609,523,4,4,2,0,0
S01010610,650,14,12,0,0,2
S01010611,825,5,15,1,1,0
S01010612,675,11,2,2,6,1
S01010613,628,8,5,4,0,4
S01010614,580,7,10,2,10,4
S01010615,703,3,23,1,0,1
S01010616,712,7,29,2,0,0
S01010617,789,3,13,0,0,1
S01010618,641,10,9,8,0,8
S01010619,544,7,19,6,6,7
S01010620,578,8,39,0,1,3
S01010621,793,7,44,2,0,5
S01010622,574,1,8,5,2,7
S01010623,672,41,31,44,12,25
S01010624,599,3,46,10,6,7
S01010625,652,7,18,0,0,7
S01010626,934,9,6,1,0,0
S01010627,725,7,14,0,1,7
S01010628,827,15,31,4,2,2
S01010629,903,19,32,0,2,1
S01010630,466,8,8,6,3,13
S01010631,527,8,5,3,1,2
S01010632,832,10,24,1,1,0
S01010633,1015,8,6,0,0,8
S01010634,504,12,9,0,2,3
S01010635,698,12,27,1,0,4
S01010636,716,15,16,0,0,0
S01010637,469,18,28,4,1,3
S01010638,715,9,16,4,4,1
S01010639,1089,19,11,4,0,4
S01010640,563,7,37,2,2,0
S01010641,838,6,17,4,0,1
S01010642,1121,7,36,7,3,4
S01010643,697,6,2,2,0,4
S01010644,643,12,8,6,0,5
S01010645,417,0,4,0,1,4
S01010646,630,6,14,2,0,2
S01010647,570,0,11,0,0,1
S01010648,555,7,15,0,0,4
S01010649,517,0,7,0,2,0
S01010650,1558,15,43,0,5,11
S01010651,567,5,6,2,1,1
S01010652,845,8,21,1,0,2
S01010653,481,1,1,0,2,0
S01010654,704,4,4,4,1,0
S01010655,917,12,7,0,0,6
S01010656,726,0,4,0,1,1
S01010657,656,2,3,0,1,0
S01010658,762,3,10,1,0,0
S01010659,666,8,7,0,1,0
S01010660,592,6,9,0,0,0
S01010661,630,5,8,0,0,3
S01010662,833,15,6,0,1,3
S01010663,881,10,2,1,0,5
S01010664,710,1,2,1,0,1
S01010665,1019,8,0,3,1,6
S01010666,1016,22,9,11,0,9
S01010667,624,2,2,0,0,3
S01010668,1112,14,16,2,1,10
S01010669,575,2,3,1,0,1
S01010670,777,1,1,1,2,2
S01010671,729,8,1,1,0,2
S01010672,633,3,12,0,0,0
S01010673,891,7,6,0,0,6
S01010674,986,6,17,0,3,1
S01010675,720,0,3,1,0,0
S01010676,1016,8,2,6,0,1
S01010677,543,4,4,0,0,0
S01010678,712,8,1,1,0,3
S01010679,499,5,10,0,0,0
S01010680,684,11,8,1,2,0
S01010681,973,8,15,1,2,0
S01010682,1052,8,14,1,0,2
S01010683,999,7,6,0,2,0
S01010684,802,4,7,0,0,4
S01010685,602,4,3,0,0,3
S01010686,641,7,3,0,0,5
S01010687,836,6,7,0,0,0
S01010688,747,16,6,0,1,2
S01010689,737,9,2,0,0,1
S01010690,571,7,14,0,0,1
S01010691,740,5,0,2,1,6
S01010692,736,7,1,1,0,0
S01010693,491,8,6,3,0,7
S01010694,590,0,14,0,0,4
S01010695,658,9,0,0,0,4
S01010696,991,10,5,0,4,1
S01010697,1063,9,1,1,0,3
S01010698,736,2,7,0,2,2
S01010699,531,5,5,0,0,0
S01010700,546,2,3,0,2,0
S01010701,1009,7,1,1,2,1
S01010702,915,2,6,0,0,4
S01010703,851,6,0,0,1,3
S01010704,552,2,10,0,0,0
S01010705,1355,15,4,1,2,7
S01010706,765,15,7,0,1,3
S01010707,1208,8,6,2,0,1
S01010708,521,7,7,0,0,1
S01010709,663,6,0,2,0,0
S01010710,690,2,1,0,0,0
S01010711,759,3,14,0,0,2
S01010712,661,4,12,2,0,28
S01010713,615,5,12,2,0,8
S01010714,494,2,10,0,2,7
S01010715,711,10,7,1,0,2
S01010716,880,7,14,1,0,12
S01010717,591,8,12,0,0,4
S01010718,1054,8,19,2,0,4
S01010719,622,4,2,1,1,1
S01010720,1048,9,6,0,0,0
S01010721,614,7,2,0,0,1
S01010722,789,6,4,0,0,5
S01010723,931,4,5,0,0,4
S01010724,916,9,10,0,0,0
S01010725,1069,11,16,4,1,9
S01010726,839,10,7,1,0,2
S01010727,665,3,2,0,1,2
S01010728,540,0,11,0,0,1
S01010729,652,3,5,1,0,2
S01010730,927,0,17,0,0,2
S01010731,828,20,1,1,1,8
S01010732,699,8,12,0,1,0
S01010733,542,1,3,6,0,0
S01010734,854,6,10,0,0,4
S01010735,644,3,16,6,4,20
S01010736,524,1,3,0,0,2
S01010737,1297,11,22,3,2,5
S01010738,517,1,2,0,0,1
S01010739,760,15,23,1,0,0
S01010740,468,5,6,0,0,0
S01010741,987,17,9,0,0,1
S01010742,687,4,15,0,0,0
S01010743,645,9,2,1,0,1
S01010744,960,7,2,1,0,0
S01010745,520,7,22,0,4,0
S01010746,966,5,6,0,3,1
S01010747,800,12,1,2,0,4
S01010748,589,5,5,0,1,2
S01010749,599,2,0,0,0,0
S01010750,581,4,3,0,1,2
S01010751,734,3,2,0,0,0
S01010752,814,4,3,0,0,1
S01010753,1105,7,5,1,0,4
S01010754,538,4,10,8,0,0
S01010755,512,1,5,0,0,0
S01010756,636,1,5,0,2,3
