Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01006886,1001,10,7,1,1,4
S01006887,716,6,2,6,0,0
S01006888,895,5,1,2,2,3
S01006889,727,13,4,1,0,2
S01006890,562,3,10,1,0,6
S01006891,966,7,10,0,1,0
S01006892,560,5,6,7,0,2
S01006893,467,5,2,3,0,0
S01006894,875,4,9,0,0,13
S01006895,541,10,12,9,0,7
S01006896,725,4,13,1,0,21
S01006897,629,9,1,0,0,0
S01006898,713,7,1,1,1,1
S01006899,529,10,0,5,0,0
S01006900,448,2,4,0,0,1
S01006901,522,4,4,6,0,9
S01006902,583,7,10,1,0,4
S01006903,808,9,9,17,2,8
S01006904,608,7,11,0,0,14
S01006905,824,8,5,8,0,4
S01006906,735,0,7,0,1,19
S01006907,651,8,2,2,4,19
S01006908,732,9,8,9,1,15
S01006909,1165,15,21,4,0,5
S01006910,1023,9,10,0,0,0
S01006911,720,7,27,11,0,0
S01006912,861,11,4,0,3,5
S01006913,2482,32,46,23,0,9
S01006914,656,9,7,0,2,9
S01006915,848,7,1,3,1,3
S01006916,505,0,1,2,0,3
S01006917,999,9,18,0,1,6
S01006918,459,10,2,5,0,8
S01006919,408,6,4,4,0,0
S01006920,416,2,2,4,0,11
S01006921,768,10,8,1,4,6
S01006922,699,9,13,0,1,0
S01006923,750,4,6,6,0,2
S01006924,538,1,0,0,4,2
S01006925,400,3,7,0,0,1
S01006926,710,4,12,18,0,0
S01006927,1021,23,19,40,8,18
S01006928,1094,11,6,5,5,1
S01006929,707,11,21,24,1,25
S01006930,753,19,34,13,0,4
S01006931,332,6,10,0,0,0
S01006932,1108,17,29,27,0,30
S01006933,465,3,15,6,0,11
S01006934,1097,11,36,52,3,16
S01006935,604,17,20,1,1,8
S01006936,560,0,10,0,0,0
S01006937,659,10,24,2,0,8
S01006938,414,8,1,2,0,2
S01006939,527,11,13,8,0,1
S01006940,797,6,28,10,0,10
S01006941,512,9,32,9,1,5
S01006942,848,6,21,11,6,13
S01006943,612,6,25,6,0,3
S01006944,972,15,94,28,4,34
S01006945,408,5,4,11,0,3
S01006946,639,4,10,10,0,0
S01006947,775,11,10,2,1,2
S01006948,893,14,7,0,0,0
S01006949,675,5,6,0,1,0
