Data zone code,Data zone name,Total population
S01007008,Huntly - 01,998
S01007009,Huntly - 02,1007
S01007010,Huntly - 03,765
S01007011,Huntly - 04,789
S01007012,Huntly - 05,681
S01007013,Auchterless and Monquhitter - 01,532
S01007014,Auchterless and Monquhitter - 02,1053
S01007015,Auchterless and Monquhitter - 03,633
S01007016,Auchterless and Monquhitter - 04,578
S01007017,Turriff - 01,960
S01007018,Turriff - 02,812
S01007019,Turriff - 03,534
S01007020,Turriff - 04,641
S01007021,Turriff - 05,818
S01007022,Turriff - 06,455
S01007023,"Portsoy, Fordyce and Cornhill - 01",481
S01007024,"Portsoy, Fordyce and Cornhill - 02",997
S01007025,"Portsoy, Fordyce and Cornhill - 03",867
S01007026,"Portsoy, Fordyce and Cornhill - 04",870
S01007027,Aberchirder and Whitehills - 01,1022
S01007028,Aberchirder and Whitehills - 02,1221
S01007029,Aberchirder and Whitehills - 03,556
S01007030,Aberchirder and Whitehills - 04,784
S01007031,Aberchirder and Whitehills - 05,593
S01007032,Banff - 01,925
S01007033,Banff - 02,598
S01007034,Banff - 03,511
S01007035,Banff - 04,822
S01007036,Banff - 05,901
S01007037,Macduff - 01,863
S01007038,Macduff - 02,610
S01007039,Macduff - 03,999
S01007040,Macduff - 04,575
S01007041,Macduff - 05,713
S01007042,Gardenstown and King Edward - 01,766
S01007043,Gardenstown and King Edward - 02,966
S01007044,Gardenstown and King Edward - 03,638
S01007045,Gardenstown and King Edward - 04,791
S01007046,New Pitsligo - 01,561
S01007047,New Pitsligo - 02,587
S01007048,New Pitsligo - 03,812
S01007049,New Pitsligo - 04,929
S01007050,Deer and Mormond - 01,686
S01007051,Deer and Mormond - 02,736
S01007052,Deer and Mormond - 03,1003
S01007053,Deer and Mormond - 04,531
S01007054,Deer and Mormond - 05,961
S01007055,Deer and Mormond - 06,587
S01007056,Deer and Mormond - 07,697
S01007057,Mintlaw - 01,500
S01007058,Mintlaw - 02,529
S01007059,Mintlaw - 03,1011
S01007060,Mintlaw - 04,493
S01007061,Auchnagatt - 01,933
S01007062,Auchnagatt - 02,700
S01007063,Auchnagatt - 03,671
S01007064,Auchnagatt - 04,1005
S01007065,Cruden - 01,607
S01007066,Cruden - 02,876
S01007067,Cruden - 03,465
S01007068,Cruden - 04,682
S01007069,Cruden - 05,826
S01007070,Cruden - 06,484
S01007071,Cruden - 07,787
S01007072,Peterhead Links - 01,642
S01007073,Peterhead Links - 02,1082
S01007074,Peterhead Links - 03,581
S01007075,Peterhead Links - 04,682
S01007076,Peterhead Links - 05,658
S01007077,Peterhead Links - 06,710
S01007078,Peterhead Bay - 01,747
S01007079,Peterhead Bay - 02,899
S01007080,Peterhead Bay - 03,768
S01007081,Peterhead Harbour - 01,734
S01007082,Peterhead Harbour - 02,498
S01007083,Peterhead Harbour - 03,990
S01007084,Peterhead Harbour - 04,582
S01007085,Peterhead Harbour - 05,902
S01007086,Peterhead Harbour - 06,1135
S01007087,Peterhead Harbour - 07,938
S01007088,Peterhead Harbour - 08,533
S01007089,Peterhead Ugieside - 01,473
S01007090,Peterhead Ugieside - 02,423
S01007091,Peterhead Ugieside - 03,837
S01007092,Peterhead Ugieside - 04,549
S01007093,Peterhead Ugieside - 05,860
S01007094,Peterhead Ugieside - 06,868
S01007095,Longside and Rattray - 01,560
S01007096,Longside and Rattray - 02,922
S01007097,Longside and Rattray - 03,2397
S01007098,Longside and Rattray - 04,1151
S01007099,Longside and Rattray - 05,872
S01007100,Longside and Rattray - 06,746
S01007101,Longside and Rattray - 07,811
S01007102,Longside and Rattray - 08,713
S01007103,Rosehearty and Strathbeg - 01,809
S01007104,Rosehearty and Strathbeg - 02,583
S01007105,Rosehearty and Strathbeg - 03,518
S01007106,Rosehearty and Strathbeg - 04,637
S01007107,Rosehearty and Strathbeg - 05,755
S01007108,Rosehearty and Strathbeg - 06,1352
S01007109,Rosehearty and Strathbeg - 07,828
S01007110,Rosehearty and Strathbeg - 08,764
S01007111,Rosehearty and Strathbeg - 09,477
S01007112,Fraserburgh Smiddyhill - 01,515
S01007113,Fraserburgh Smiddyhill - 02,550
S01007114,Fraserburgh Smiddyhill - 03,860
S01007115,Fraserburgh Smiddyhill - 04,636
S01007116,Fraserburgh Smiddyhill - 05,878
S01007117,Fraserburgh Smiddyhill - 06,426
S01007118,Fraserburgh Lochpots - 01,632
S01007119,Fraserburgh Lochpots - 02,680
S01007120,Fraserburgh Lochpots - 03,995
