Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01006734,39,162,90,57,40,30,26,18,30
S01006735,31,62,27,24,13,14,13,4,12
S01006736,60,201,107,61,40,48,33,29,35
S01006737,80,277,145,95,73,63,50,46,59
S01006738,66,209,182,111,111,72,57,80,89
S01006739,69,262,196,116,115,112,53,72,99
S01006740,24,35,47,38,39,30,25,35,60
S01006741,11,33,33,46,33,31,15,25,40
S01006742,11,23,27,27,25,22,18,15,28
S01006743,40,109,85,61,53,35,31,43,39
S01006744,24,28,33,38,29,30,24,27,32
S01006745,21,41,58,37,55,53,38,42,58
S01006746,21,67,43,51,66,36,20,42,50
S01006747,33,125,90,60,78,50,40,38,44
S01006748,46,145,155,95,109,63,44,74,103
S01006749,23,54,56,58,50,46,36,36,51
S01006750,14,31,47,40,43,18,20,25,33
S01006751,8,41,30,18,26,14,10,28,15
S01006752,14,42,41,41,37,22,26,31,39
S01006753,34,80,70,53,52,32,25,23,37
S01006754,29,68,66,66,53,36,25,24,33
S01006755,39,97,73,42,42,27,31,29,44
S01006756,38,123,76,37,40,31,17,22,18
S01006757,35,87,56,63,43,25,23,30,26
S01006758,19,75,55,51,44,19,30,19,23
S01006759,14,59,48,38,28,16,17,19,20
S01006760,25,57,45,47,29,18,11,29,14
S01006761,19,60,51,51,43,27,25,21,34
S01006762,81,215,166,84,62,50,43,34,36
S01006763,36,93,92,81,57,56,34,23,38
S01006764,33,79,62,56,45,35,32,34,39
S01006765,20,60,47,48,47,37,25,24,29
S01006766,33,83,50,33,32,23,25,17,21
S01006767,15,62,46,56,40,25,19,26,26
S01006768,28,72,52,38,22,12,14,14,15
S01006769,34,84,70,58,51,43,29,29,40
S01006770,25,45,43,39,30,22,23,17,22
S01006771,24,32,39,28,22,9,14,14,11
S01006772,28,75,61,54,55,26,26,33,27
S01006773,24,92,85,67,41,38,28,31,25
S01006774,17,60,39,43,22,21,28,19,14
S01006775,39,104,71,66,62,43,29,36,60
S01006776,13,29,26,30,26,28,14,23,15
S01006777,11,40,44,51,34,25,22,15,15
S01006778,13,42,41,35,33,28,23,21,25
S01006779,14,35,38,26,26,38,28,18,29
S01006780,16,49,40,32,20,15,13,15,21
S01006781,14,51,56,26,34,21,13,19,25
S01006782,27,97,92,55,46,30,25,17,27
S01006783,14,36,37,27,25,22,12,18,23
S01006784,24,78,40,47,34,17,26,15,19
S01006785,23,71,39,45,32,17,18,19,19
S01006786,34,94,58,68,52,20,25,22,26
S01006787,22,59,38,35,31,23,19,21,27
S01006788,131,328,240,170,134,102,69,65,72
S01006789,33,36,20,26,36,26,25,33,33
S01006790,40,30,29,29,59,37,29,32,69
S01006791,47,42,45,31,63,27,10,20,30
S01006792,36,29,27,16,64,24,10,16,33
S01006793,37,45,34,36,50,14,22,10,44
S01006794,26,42,34,22,34,37,16,18,29
S01006795,42,100,42,22,37,29,12,17,25
S01006796,56,105,69,25,71,36,21,22,37
S01006797,45,64,37,19,39,19,24,18,35
S01006798,49,67,37,26,61,33,12,17,24
S01006799,37,67,49,39,66,40,22,32,49
S01006800,59,123,77,26,54,28,16,24,23
S01006801,67,183,120,75,91,55,37,40,68
S01006802,31,78,55,30,60,28,17,34,64
S01006803,28,44,58,26,35,37,16,26,36
S01006804,27,86,62,26,42,40,21,38,41
S01006805,58,120,66,36,94,52,25,48,57
S01006806,58,116,79,53,102,44,27,37,67
S01006807,41,62,48,29,44,33,14,33,24
S01006808,45,96,55,34,44,27,13,29,20
S01006809,39,66,38,33,50,40,20,32,34
S01006810,45,109,54,32,52,26,24,25,36
S01006811,59,126,105,46,84,51,17,36,61
S01006812,55,94,71,35,85,40,22,37,51
S01006813,36,82,66,39,80,33,38,41,51
S01006814,41,96,59,40,47,33,26,22,25
S01006815,26,44,47,17,45,31,20,32,49
S01006816,29,62,46,25,32,23,27,14,31
S01006817,50,93,41,32,55,46,22,43,50
S01006818,54,103,58,39,54,28,25,39,36
S01006819,89,182,77,53,88,36,20,37,52
S01006820,35,91,62,37,35,35,19,25,20
S01006821,112,306,213,106,117,71,48,55,68
S01006822,80,182,104,60,65,41,19,37,36
S01006823,22,80,51,25,32,29,16,16,28
S01006824,21,55,35,36,68,58,34,32,69
S01006825,31,82,37,39,41,35,27,33,47
S01006826,36,109,52,45,33,32,17,22,51
S01006827,20,92,57,34,42,42,26,30,52
S01006828,30,86,66,38,49,45,22,28,55
S01006829,25,65,46,15,14,14,11,12,11
S01006830,23,63,49,33,44,26,17,22,35
S01006831,20,43,28,27,28,17,9,16,12
S01006832,46,119,62,37,41,29,12,17,31
S01006833,28,74,44,20,8,14,4,8,10
S01006834,29,72,53,31,18,19,16,14,22
S01006835,26,93,53,32,42,35,21,24,30
S01006836,32,82,60,33,26,20,24,14,20
S01006837,16,61,27,15,35,19,20,19,31
S01006838,26,100,49,43,30,22,21,16,35
S01006839,33,91,75,49,53,38,24,34,34
S01006840,57,150,86,71,68,41,36,32,39
S01006841,37,106,62,52,48,37,29,28,32
S01006842,20,57,46,61,42,34,20,33,41
S01006843,26,70,57,85,43,38,31,31,36
S01006844,27,57,43,37,36,25,30,29,49
S01006845,31,95,85,66,51,38,35,33,26
S01006846,19,50,33,28,34,29,18,21,26
S01006847,28,44,50,41,44,34,20,36,25
S01006848,119,242,172,115,93,52,43,62,52
S01006849,120,307,167,130,114,95,60,61,69
S01006850,26,74,75,46,66,48,48,39,65
S01006851,34,51,47,45,51,35,32,27,40
S01006852,31,64,37,20,37,15,6,15,25
S01006853,87,164,69,41,54,23,18,16,23
S01006854,34,105,49,38,60,42,18,18,32
S01006855,65,164,66,27,47,27,15,18,27
S01006856,56,118,47,35,48,19,16,17,31
S01006857,77,172,93,54,92,47,14,35,50
S01006858,39,97,59,41,49,28,4,24,25
S01006859,45,135,58,37,32,20,22,29,35
S01006860,20,35,21,14,25,37,16,10,27
S01006861,43,95,48,27,34,14,7,13,19
S01006862,20,68,50,28,48,25,20,24,28
S01006863,24,66,32,26,53,36,20,34,32
S01006864,27,95,58,32,55,35,23,15,31
S01006865,50,112,79,27,42,44,21,18,58
S01006866,24,66,36,17,22,13,9,7,9
S01006867,31,76,41,16,25,18,18,4,17
S01006868,31,102,44,29,38,46,27,33,36
S01006869,31,53,34,15,33,26,10,14,20
