Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01009632,16,16,17,8,28,28,13,25,32
S01009633,12,21,20,33,37,35,27,43,54
S01009634,10,19,24,15,26,43,24,20,28
S01009635,27,34,48,28,37,44,53,42,59
S01009636,14,24,32,19,34,45,37,27,42
S01009637,14,14,30,31,32,41,21,24,36
S01009638,19,24,28,21,55,80,46,45,69
S01009639,31,95,46,32,32,30,19,23,34
S01009640,19,27,28,19,48,36,25,23,47
S01009641,15,40,44,43,41,55,50,26,51
S01009642,29,60,68,37,59,58,48,31,59
S01009643,51,127,92,62,88,62,51,63,57
S01009644,23,54,37,37,51,46,37,41,53
S01009645,15,30,34,27,48,34,29,24,40
S01009646,16,40,29,22,39,28,26,29,34
S01009647,13,24,31,19,39,30,33,27,41
S01009648,22,50,55,33,59,48,32,45,62
S01009649,26,67,62,42,58,57,36,41,75
S01009650,24,56,32,40,51,20,18,33,28
S01009651,70,164,93,47,87,48,26,33,67
S01009652,52,90,59,34,30,11,16,13,22
S01009653,36,65,33,30,17,6,10,10,13
S01009654,29,57,40,16,32,35,21,18,27
S01009655,16,31,45,22,38,50,23,52,83
S01009656,13,32,25,24,19,39,23,41,38
S01009657,20,48,37,26,50,44,23,33,48
S01009658,22,20,25,35,45,33,17,39,45
S01009659,13,27,23,21,33,29,16,25,23
S01009660,34,57,67,59,71,60,39,43,69
S01009661,56,91,47,41,70,33,15,31,36
S01009662,36,70,49,25,43,29,21,22,33
S01009663,19,91,54,20,35,20,11,19,24
S01009664,42,111,62,39,57,39,23,20,52
S01009665,30,53,59,28,44,43,28,19,35
S01009666,28,59,36,31,43,22,18,17,26
S01009667,35,74,30,27,38,18,14,15,20
S01009668,27,83,48,19,34,25,9,25,30
S01009669,31,44,35,20,30,19,13,17,24
S01009670,30,94,53,26,21,31,19,15,30
S01009671,34,74,39,24,33,22,25,12,24
S01009672,19,44,58,24,60,50,38,35,61
S01009673,29,74,60,32,40,36,29,24,38
S01009674,47,88,61,31,61,39,28,24,28
S01009675,46,89,55,41,54,26,28,25,30
S01009676,44,70,58,42,65,39,16,38,47
S01009677,40,64,39,23,28,15,17,8,17
S01009678,17,46,35,25,42,35,18,19,37
S01009679,40,74,61,43,71,59,28,35,56
S01009680,19,67,53,34,58,43,22,30,43
S01009681,24,76,41,30,46,35,15,29,41
S01009682,28,70,40,21,31,34,14,14,39
S01009683,31,86,39,30,30,28,34,18,30
S01009684,54,158,83,68,59,35,34,21,55
S01009685,20,53,38,22,42,27,19,14,45
S01009686,39,97,50,28,59,44,46,36,78
S01009687,15,55,44,33,40,44,33,20,53
S01009688,17,35,18,11,55,45,43,39,89
S01009689,34,83,31,25,39,41,33,25,63
S01009690,32,74,42,23,34,21,21,13,52
S01009691,19,71,43,19,22,15,8,8,32
S01009692,37,109,59,36,44,41,26,31,56
S01009693,17,82,39,31,38,27,16,13,26
S01009694,22,98,54,37,38,39,16,18,31
S01009695,29,61,30,25,33,19,17,16,15
S01009696,43,112,55,32,61,35,28,21,38
S01009697,35,109,49,35,56,15,19,7,32
S01009698,43,77,28,20,70,13,14,14,24
S01009699,20,37,16,11,26,5,7,14,10
S01009700,40,47,48,19,61,40,18,18,35
S01009701,23,41,32,11,18,25,13,9,18
S01009702,40,55,35,21,52,28,9,15,29
S01009703,21,49,41,19,41,32,15,18,28
S01009704,29,71,51,39,67,32,31,20,39
S01009705,25,46,44,29,66,56,18,26,43
S01009706,30,62,26,25,43,22,19,15,38
S01009707,27,50,28,22,36,12,11,10,30
S01009708,46,118,60,40,79,46,37,28,53
S01009709,33,65,41,36,55,30,30,16,43
S01009710,20,39,20,30,37,18,25,14,35
S01009711,31,61,34,25,40,38,27,22,36
S01009712,35,54,39,25,55,16,24,14,33
S01009713,36,71,47,42,67,28,30,17,33
S01009714,45,102,65,27,59,26,23,10,47
S01009715,40,97,52,30,38,32,10,11,29
S01009716,23,84,30,21,23,20,21,7,27
S01009717,18,61,26,17,18,29,24,11,70
S01009718,17,43,38,33,29,34,30,16,65
S01009719,9,55,30,22,35,29,31,14,62
S01009720,16,64,28,21,39,30,29,10,53
S01009721,8,25,13,2,5,5,12,3,37
S01009722,38,99,50,12,21,22,23,13,83
S01009723,16,57,17,6,5,14,15,5,49
S01009724,14,85,35,9,23,30,40,17,90
S01009725,4,44,24,6,7,12,13,8,37
S01009726,14,50,21,0,4,15,21,7,72
S01009727,36,107,38,21,30,24,16,7,36
S01009728,32,114,44,29,23,16,14,10,29
S01009729,31,77,21,18,12,9,7,15,16
S01009730,24,47,19,18,14,17,11,9,22
S01009731,23,75,18,16,10,9,18,6,12
S01009732,24,78,37,17,11,10,27,10,48
S01009733,32,59,23,21,21,14,9,11,13
S01009734,39,151,46,32,46,21,17,14,35
S01009735,37,99,29,22,14,9,19,7,16
S01009736,23,138,49,30,17,21,99,16,215
S01009737,14,64,88,33,41,48,39,22,60
S01009738,29,68,35,20,37,22,20,8,29
S01009739,43,80,90,43,43,62,43,27,55
S01009740,25,32,25,21,32,28,27,13,35
S01009741,21,28,289,21,37,25,21,9,28
S01009742,31,70,20,19,40,14,11,8,21
S01009743,37,129,56,37,60,31,20,23,32
S01009744,44,67,49,25,36,14,14,15,25
S01009745,46,171,96,65,65,41,42,38,72
S01009746,38,69,36,18,43,23,9,16,29
S01009747,25,75,61,28,33,38,14,21,46
S01009748,21,107,77,34,39,41,32,17,46
S01009749,44,125,59,40,37,43,27,33,50
S01009750,21,84,61,33,38,34,29,25,27
S01009751,28,59,55,32,46,41,12,32,49
S01009752,25,112,36,23,17,15,17,11,12
S01009753,27,106,33,18,16,12,10,8,15
S01009754,28,147,66,31,35,29,23,19,38
S01009755,27,114,47,20,27,18,18,8,15
S01009756,32,125,38,25,15,20,19,10,23
S01009757,31,164,48,28,25,26,14,10,21
S01009758,11,76,54,46,39,25,31,19,28
S01009759,17,27,35,25,50,48,53,56,82
S01009760,17,53,47,42,62,57,44,49,82
S01009761,28,76,61,49,53,27,40,25,51
S01009762,14,31,23,36,54,66,49,56,104
S01009763,41,103,66,46,30,21,33,13,32
S01009764,18,42,32,28,28,36,53,24,46
S01009765,25,81,51,45,53,49,61,53,44
S01009766,20,35,32,32,22,33,22,29,14
S01009767,90,296,210,108,142,96,128,84,92
S01009768,32,42,47,37,51,46,47,29,52
S01009769,40,118,92,72,53,66,51,43,40
S01009770,28,54,51,36,47,31,48,25,28
S01009771,40,61,52,53,47,31,45,44,43
S01009772,17,38,36,26,37,41,39,31,28
S01009773,29,74,51,36,30,27,50,33,29
S01009774,29,69,41,34,23,20,50,26,16
S01009775,69,278,177,91,88,80,78,51,80
S01009776,18,21,22,27,24,47,34,22,58
S01009777,4,23,15,19,20,26,23,22,35
S01009778,11,25,29,15,28,35,42,28,59
S01009779,4,18,12,12,17,27,30,23,34
S01009780,9,19,18,20,19,38,34,24,64
S01009781,11,21,12,21,25,40,35,20,47
S01009782,30,52,35,39,30,41,44,36,58
S01009783,12,25,26,35,33,36,41,29,49
S01009784,20,33,43,41,50,66,51,41,64
S01009785,16,33,33,35,31,62,42,26,71
S01009786,15,44,23,31,29,63,51,52,75
S01009787,6,31,45,26,35,51,44,30,65
S01009788,22,48,53,51,61,48,44,40,64
S01009789,16,45,39,42,41,45,42,29,65
S01009790,17,24,30,31,34,51,37,30,34
S01009791,11,25,39,36,41,35,39,20,53
S01009792,56,141,84,59,38,32,75,40,37
S01009793,88,232,137,100,95,58,76,53,52
S01009794,18,67,47,49,42,36,24,21,26
S01009795,47,112,60,56,45,35,33,27,24
S01009796,28,83,55,46,37,24,27,13,28
S01009797,42,80,67,44,52,52,55,33,36
S01009798,29,84,53,48,35,38,36,24,25
S01009799,10,25,36,35,45,51,39,39,61
S01009800,22,46,60,43,42,66,53,40,62
S01009801,12,23,39,35,46,58,50,40,72
S01009802,24,58,58,30,59,62,43,34,71
S01009803,11,25,24,25,33,39,34,29,49
S01009804,19,70,54,28,18,21,9,7,16
S01009805,24,34,39,37,45,53,49,35,60
S01009806,17,56,31,38,27,34,33,24,52
S01009807,14,48,40,39,34,48,37,37,65
S01009808,11,33,21,37,26,29,22,23,41
S01009809,11,39,35,45,29,31,41,25,40
S01009810,12,37,34,30,31,33,23,17,30
S01009811,19,50,54,46,56,57,37,50,48
S01009812,30,59,40,33,41,37,27,28,48
S01009813,11,21,25,25,25,35,47,33,51
S01009814,25,80,53,27,32,36,46,25,34
S01009815,15,50,40,34,32,38,35,19,36
S01009816,14,48,45,42,25,37,41,24,34
S01009817,14,54,42,38,35,25,25,31,30
S01009818,29,76,51,51,29,29,35,17,25
S01009819,19,50,35,24,14,34,31,17,21
S01009820,28,95,53,58,42,51,54,33,46
S01009821,30,78,53,37,32,30,28,23,21
S01009822,13,36,25,22,31,39,27,21,39
S01009823,19,38,20,21,20,37,24,36,49
S01009824,21,71,43,47,66,61,44,34,58
S01009825,18,49,46,44,52,66,47,40,69
S01009826,16,29,25,28,21,31,25,33,48
S01009827,15,43,40,41,53,49,48,44,70
S01009828,8,23,23,22,21,27,39,19,35
S01009829,22,57,49,56,64,50,46,46,62
S01009830,11,39,41,41,41,35,39,31,39
S01009831,15,50,34,37,28,24,37,31,34
S01009832,28,86,55,57,40,49,47,30,47
S01009833,24,47,29,42,33,24,15,21,32
S01009834,29,55,37,43,35,26,52,45,76
S01009835,13,18,26,28,16,40,34,19,54
S01009836,23,54,48,54,65,51,47,41,55
S01009837,13,30,34,23,29,48,24,36,43
S01009838,16,69,50,32,41,49,50,42,83
S01009839,22,49,58,33,47,57,51,24,68
S01009840,25,43,46,49,49,48,30,28,77
S01009841,7,27,29,17,37,32,29,32,110
S01009842,16,44,29,17,29,34,31,24,54
S01009843,15,56,52,39,33,35,39,35,81
S01009844,18,59,33,23,37,35,35,29,77
S01009845,6,42,34,27,27,33,28,29,86
S01009846,21,65,64,43,45,61,48,49,105
S01009847,12,46,40,37,31,35,39,30,65
S01009848,14,44,44,43,40,56,48,24,75
S01009849,21,85,58,44,39,35,34,19,48
S01009850,23,83,47,53,40,39,39,22,45
S01009851,15,72,62,54,38,53,32,38,70
S01009852,21,59,36,29,30,39,20,18,38
S01009853,23,81,56,34,32,39,39,28,38
S01009854,35,64,60,45,42,47,46,38,63
S01009855,19,58,55,33,23,32,23,28,23
S01009856,10,73,50,31,24,29,35,27,23
S01009857,31,99,66,50,26,44,34,34,35
S01009858,23,79,39,36,33,39,43,38,34
S01009859,22,53,55,44,39,72,53,55,94
S01009860,21,75,55,28,35,46,45,27,69
S01009861,18,66,51,34,45,49,41,40,89
S01009862,32,135,77,55,45,49,60,28,92
S01009863,24,98,70,40,48,32,50,32,70
S01009864,23,84,80,51,45,53,30,37,65
S01009865,26,111,103,62,51,39,49,34,69
S01009866,22,88,72,61,64,41,43,42,59
S01009867,59,206,118,66,34,50,61,38,64
S01009868,19,108,60,45,31,15,24,20,52
S01009869,12,109,73,37,41,25,38,27,52
S01009870,17,75,48,20,28,22,38,31,48
S01009871,37,128,53,35,27,39,58,43,51
S01009872,21,110,88,46,40,16,56,41,68
S01009873,22,116,59,34,33,16,37,18,36
S01009874,51,118,56,43,36,22,44,24,34
S01009875,22,95,60,27,23,30,46,19,28
S01009876,2,14,20,10,6,12,11,7,16
S01009877,63,188,78,23,15,14,44,13,20
S01009878,26,75,44,18,24,22,60,32,45
S01009879,84,162,78,30,21,20,21,10,21
S01009880,32,101,53,34,25,23,52,26,25
S01009881,23,64,56,41,38,29,52,21,58
S01009882,46,276,162,86,48,36,66,42,69
S01009883,23,113,80,18,26,17,37,23,28
S01009884,32,158,97,34,30,27,52,29,32
S01009885,22,123,75,23,16,20,31,21,30
S01009886,24,91,53,33,10,17,46,20,26
S01009887,22,55,64,30,51,25,39,49,92
S01009888,20,55,47,22,32,26,29,38,55
S01009889,27,72,83,45,47,17,56,22,51
S01009890,5,23,24,11,29,12,13,16,29
S01009891,21,61,56,35,33,19,46,30,55
S01009892,19,79,62,33,29,30,31,42,51
S01009893,23,81,69,27,43,26,46,41,60
S01009894,15,42,29,26,37,33,46,38,62
S01009895,21,64,54,28,44,38,60,33,68
S01009896,19,54,44,29,50,45,57,48,56
S01009897,29,104,95,40,49,41,50,45,51
S01009898,10,27,30,19,33,21,30,32,41
S01009899,26,194,112,39,36,23,25,15,41
S01009900,36,212,117,43,31,26,32,15,30
S01009901,45,265,135,41,44,35,36,14,37
S01009902,31,122,87,26,40,13,44,32,51
S01009903,42,142,103,46,38,27,33,19,33
S01009904,39,196,126,44,32,28,36,14,24
S01009905,30,104,103,37,43,27,29,18,53
S01009906,24,87,58,18,28,13,19,10,28
S01009907,29,140,124,46,47,41,54,28,54
S01009908,51,245,148,43,34,25,42,19,40
S01009909,50,224,154,58,48,30,47,17,47
S01009910,19,100,61,25,28,17,22,7,15
S01009911,33,200,99,28,25,20,29,10,19
S01009912,63,167,73,33,18,18,28,19,25
S01009913,53,125,65,31,14,12,36,17,20
S01009914,73,167,83,39,21,17,50,14,23
S01009915,47,197,84,42,27,19,25,11,20
S01009916,58,131,55,40,26,15,56,28,19
S01009917,36,170,68,24,19,17,21,16,20
S01009918,27,141,61,26,20,14,17,7,13
S01009919,53,215,117,55,56,37,62,22,62
S01009920,55,259,119,48,36,29,47,16,35
S01009921,33,225,122,42,28,31,32,9,32
S01009922,53,306,160,54,42,25,37,24,29
S01009923,42,185,121,51,45,42,26,28,28
S01009924,42,259,136,53,38,29,50,13,36
S01009925,37,209,134,52,39,17,29,11,31
S01009926,31,165,83,32,26,23,32,10,32
S01009927,32,107,58,38,26,24,19,13,16
S01009928,57,269,107,32,29,21,32,9,16
S01009929,36,135,59,19,18,7,17,8,14
S01009930,40,209,117,40,34,30,30,7,25
S01009931,34,228,106,43,29,21,30,12,21
S01009932,39,207,89,36,24,16,32,10,30
S01009933,26,122,63,29,28,42,45,32,47
S01009934,37,192,101,44,31,19,35,9,24
S01009935,19,174,78,45,38,36,28,21,57
S01009936,15,77,45,19,23,18,28,15,32
S01009937,9,46,29,21,8,14,15,6,17
S01009938,25,85,54,38,34,44,51,18,43
S01009939,7,8,18,18,10,17,29,33,58
S01009940,10,28,30,20,31,50,39,32,64
S01009941,25,85,60,59,49,39,76,48,47
S01009942,23,32,35,45,40,45,48,49,73
S01009943,17,30,39,24,34,56,39,36,72
S01009944,13,49,40,28,25,27,38,26,33
S01009945,25,82,66,58,57,52,54,24,56
S01009946,19,47,48,41,27,55,45,41,54
S01009947,21,29,35,29,28,26,38,18,33
S01009948,16,44,44,25,35,45,31,35,46
S01009949,22,98,47,41,32,31,44,15,40
S01009950,39,128,54,31,9,17,25,5,11
S01009951,44,141,46,23,22,7,13,7,17
S01009952,23,139,62,22,20,10,22,5,14
S01009953,31,133,57,23,35,33,26,12,26
S01009954,34,113,51,26,25,24,43,10,29
S01009955,55,172,93,43,38,46,39,12,57
S01009956,19,94,50,46,18,30,27,14,32
S01009957,40,154,63,30,20,19,21,9,8
S01009958,50,208,78,36,36,22,25,25,25
S01009959,35,117,43,29,26,9,13,12,8
S01009960,44,152,51,20,14,12,20,2,15
S01009961,18,81,54,32,27,42,23,17,27
S01009962,36,152,95,64,49,43,36,27,50
S01009963,28,114,67,41,45,18,21,23,17
S01009964,54,208,92,40,56,25,36,18,20
S01009965,34,124,62,46,32,33,38,17,28
S01009966,24,71,59,49,53,21,28,15,11
S01009967,45,143,54,47,16,21,22,9,17
S01009968,14,69,47,32,25,22,26,30,12
S01009969,46,128,58,40,33,16,18,10,24
S01009970,9,20,28,37,29,45,31,36,66
S01009971,22,55,54,41,48,60,54,52,70
S01009972,39,85,69,41,48,37,40,26,23
S01009973,13,28,36,56,31,42,38,30,61
S01009974,6,20,14,24,26,49,34,16,27
S01009975,23,32,35,31,26,51,35,23,66
S01009976,10,16,16,20,12,23,22,7,35
S01009977,7,16,30,21,21,21,28,25,66
S01009978,20,34,37,46,67,70,47,41,95
S01009979,13,52,48,32,32,44,29,22,39
S01009980,14,23,30,29,40,62,34,27,75
S01009981,6,17,33,28,31,47,36,26,53
S01009982,19,44,64,52,61,62,53,46,62
S01009983,13,20,18,14,30,45,18,30,50
S01009984,17,34,33,28,39,60,40,32,59
S01009985,11,12,17,13,27,32,14,22,47
S01009986,8,21,19,20,11,38,8,23,51
S01009987,9,29,26,32,34,41,22,55,47
S01009988,12,20,26,23,16,28,18,22,35
S01009989,28,51,36,52,37,53,46,34,42
S01009990,16,32,47,46,40,41,45,26,36
S01009991,19,39,46,47,41,40,42,28,45
S01009992,15,28,22,36,35,44,32,31,60
S01009993,22,61,65,41,42,53,33,28,34
S01009994,19,55,60,47,40,38,56,36,48
S01009995,15,54,38,38,29,30,29,20,32
S01009996,14,32,29,30,26,35,44,22,40
S01009997,19,36,35,47,37,32,38,22,41
S01009998,35,75,34,23,34,15,13,14,22
S01009999,20,71,56,45,38,24,20,22,29
S01010000,16,47,41,31,31,35,35,14,29
S01010001,19,59,44,38,42,39,33,24,37
S01010002,22,65,44,36,36,39,32,37,53
S01010003,15,73,40,38,31,27,29,19,28
S01010004,35,114,46,32,17,16,21,13,13
S01010005,72,217,142,77,71,35,58,25,57
S01010006,40,220,149,65,59,60,51,29,69
S01010007,30,176,88,46,32,27,30,24,25
S01010008,32,142,78,41,32,23,26,14,18
S01010009,21,109,81,44,38,24,38,17,39
S01010010,44,195,98,61,36,37,35,14,36
S01010011,24,125,83,40,32,25,38,20,28
S01010012,17,93,65,65,40,31,33,24,33
S01010013,33,158,106,48,38,35,45,18,44
S01010014,36,192,128,52,48,48,40,25,47
S01010015,43,181,92,31,43,24,34,14,35
S01010016,23,40,41,47,46,53,37,33,63
S01010017,6,25,34,26,20,17,30,28,51
S01010018,28,82,85,65,66,75,56,60,92
S01010019,11,51,29,23,32,33,30,33,52
S01010020,24,42,34,31,28,48,37,34,49
S01010021,19,91,66,28,36,37,23,23,38
S01010022,95,507,261,126,118,79,97,67,113
S01010023,13,20,25,13,16,22,15,23,24
S01010024,27,73,41,24,33,54,21,30,57
S01010025,11,42,23,18,16,32,26,13,48
S01010026,29,128,60,35,44,25,36,32,56
S01010027,27,144,73,43,42,33,44,17,64
S01010028,20,71,42,33,19,26,15,18,31
S01010029,10,40,29,17,30,28,27,12,31
S01010030,34,170,80,35,38,27,33,26,30
S01010031,33,226,90,42,27,21,39,20,46
S01010032,19,136,77,34,28,26,39,13,53
S01010033,25,188,136,91,59,76,77,60,89
S01010034,31,165,108,57,54,68,74,71,78
S01010035,14,56,32,11,8,8,18,13,18
S01010036,26,145,89,38,26,40,46,19,69
S01010037,27,29,33,19,23,26,26,36,45
S01010038,22,101,59,36,43,60,36,32,89
S01010039,37,257,111,50,36,29,52,17,64
S01010040,38,134,55,32,42,30,35,30,56
S01010041,33,161,70,30,45,23,47,22,58
S01010042,33,170,114,48,47,30,57,34,56
S01010043,20,93,53,23,35,44,30,34,54
S01010044,29,125,82,48,35,55,44,31,68
S01010045,4,28,23,19,21,25,21,28,45
S01010046,28,94,78,61,54,65,55,46,93
S01010047,9,31,35,21,27,33,32,36,51
S01010048,51,196,114,89,102,134,74,85,130
S01010049,10,25,32,16,40,33,36,39,81
S01010050,25,76,60,33,57,88,49,63,116
S01010051,15,31,39,44,44,42,38,44,81
S01010052,32,96,75,49,54,61,57,65,93
S01010053,13,82,50,25,38,48,33,37,76
S01010054,11,17,20,27,31,28,22,20,46
S01010055,16,75,45,39,53,55,52,29,78
S01010056,6,21,25,21,26,34,22,37,60
S01010057,16,13,24,34,18,32,33,26,40
S01010058,13,46,50,34,53,39,34,43,59
S01010059,17,50,42,48,26,38,34,25,36
S01010060,14,53,39,32,38,43,45,37,77
S01010061,13,35,34,44,45,23,24,18,44
S01010062,10,52,39,40,54,59,44,32,77
S01010063,18,38,53,44,43,57,45,45,85
S01010064,8,23,34,31,26,27,26,27,38
S01010065,13,36,26,33,40,45,36,34,56
S01010066,12,30,31,27,28,53,21,47,66
S01010067,8,26,21,12,29,31,35,28,54
S01010068,42,182,103,102,94,81,92,79,107
S01010069,21,65,63,56,52,46,49,30,30
S01010070,22,45,29,54,46,27,26,31,36
S01010071,25,43,53,45,46,39,44,41,36
S01010072,17,41,46,45,44,39,46,49,39
S01010073,15,67,57,47,61,33,31,30,29
S01010074,24,67,52,36,36,22,22,25,20
S01010075,14,26,24,31,33,40,22,37,48
S01010076,12,29,30,38,29,42,25,29,44
S01010077,16,22,33,21,33,34,37,23,33
S01010078,44,60,36,43,32,11,26,23,19
S01010079,53,93,61,57,34,25,33,22,20
S01010080,26,76,32,43,25,17,15,25,13
S01010081,36,58,28,43,46,13,18,17,27
S01010082,49,123,60,46,38,29,29,17,20
S01010083,11,21,25,31,50,31,29,37,22
S01010084,9,38,51,35,44,46,30,37,62
S01010085,13,55,52,48,45,28,22,30,35
S01010086,19,49,38,38,37,43,38,34,53
S01010087,17,53,35,30,35,21,16,11,19
S01010088,248,615,420,256,263,155,156,140,112
S01010089,17,40,41,32,37,29,30,20,32
S01010090,25,86,56,63,56,32,50,49,33
S01010091,53,119,86,56,55,45,51,40,33
S01010092,12,41,24,35,29,39,46,43,56
S01010093,32,64,48,52,33,42,42,29,32
S01010094,20,61,27,49,36,33,25,26,28
S01010095,19,51,51,42,41,25,26,19,14
S01010096,35,71,52,41,41,28,24,32,24
S01010097,23,62,52,42,39,36,28,34,21
S01010098,22,67,49,37,37,28,35,28,25
S01010099,33,78,54,48,33,25,32,21,16
S01010100,30,59,50,49,53,23,37,31,23
S01010101,23,52,42,41,40,36,24,25,34
S01010102,24,90,70,66,39,21,39,26,32
S01010103,39,123,88,85,93,58,59,59,51
S01010104,62,98,81,63,65,44,51,55,47
S01010105,5,7,10,7,24,30,19,18,40
S01010106,6,10,11,11,7,11,12,15,13
S01010107,11,18,22,17,29,40,29,35,50
S01010108,19,39,33,28,29,29,30,34,55
S01010109,48,105,88,45,49,48,40,43,62
S01010110,7,20,28,15,34,41,31,29,71
S01010111,6,25,29,13,35,28,38,21,72
S01010112,17,28,28,31,39,49,47,42,86
S01010113,7,24,25,22,33,33,37,31,61
S01010114,4,21,25,29,26,29,34,38,57
S01010115,8,32,39,31,32,33,29,33,24
S01010116,50,141,110,97,97,80,79,84,73
S01010117,83,189,159,81,121,81,74,56,60
S01010118,10,18,31,23,23,43,31,25,47
S01010119,8,12,28,18,31,42,12,23,41
S01010120,18,29,41,37,49,67,48,43,99
S01010121,8,16,10,17,16,36,23,24,43
S01010122,4,11,17,11,23,12,16,17,31
S01010123,21,28,38,32,45,49,33,29,56
S01010124,12,39,45,40,41,29,27,56,55
S01010125,2,17,21,25,28,19,25,26,36
S01010126,26,39,39,41,50,43,44,30,58
S01010127,12,22,23,35,32,28,34,21,41
S01010128,4,14,11,13,14,30,15,24,66
S01010129,5,14,23,25,36,42,31,42,73
S01010130,30,104,67,42,57,55,37,49,42
S01010131,33,75,45,54,57,22,36,35,34
S01010132,15,44,29,18,33,58,40,42,70
S01010133,11,23,24,21,37,40,29,26,49
S01010134,24,57,37,41,36,51,44,45,82
S01010135,6,18,31,35,36,38,45,35,60
S01010136,21,57,36,33,58,52,41,28,40
S01010137,28,63,51,49,51,36,32,34,66
S01010138,5,19,28,18,22,39,23,26,41
S01010139,15,40,39,57,47,49,41,44,49
S01010140,20,84,47,44,51,35,49,58,67
S01010141,9,34,34,38,47,59,41,25,60
S01010142,9,36,33,36,35,39,46,37,47
S01010143,13,29,33,38,43,45,37,40,64
S01010144,13,34,33,31,39,27,32,34,69
S01010145,16,56,44,36,39,26,31,37,49
S01010146,9,22,42,19,36,34,48,31,55
S01010147,16,34,37,20,39,52,53,35,73
S01010148,49,116,93,56,38,80,55,55,70
S01010149,47,115,88,47,63,60,57,48,65
S01010150,11,26,35,17,32,43,33,31,53
S01010151,16,30,36,17,32,39,24,25,45
S01010152,12,61,39,39,28,36,40,40,46
S01010153,22,55,57,42,39,65,43,44,60
S01010154,14,42,40,42,28,42,41,32,44
S01010155,10,32,35,21,36,49,26,27,46
S01010156,10,17,20,21,17,24,28,13,32
S01010157,7,16,20,20,33,30,26,23,49
S01010158,13,34,31,42,36,56,35,30,57
S01010159,10,31,18,24,30,35,27,27,47
S01010160,8,7,19,11,35,20,16,45,48
S01010161,15,30,35,25,36,55,38,43,58
S01010162,8,20,23,21,30,43,23,41,72
S01010163,13,28,39,19,29,51,34,43,58
S01010164,21,33,26,27,48,51,36,48,85
S01010165,16,21,14,24,32,40,24,27,45
S01010166,35,63,84,54,78,49,54,52,64
S01010167,10,21,20,19,43,36,23,33,57
S01010168,13,33,34,13,26,26,24,17,30
S01010169,11,19,25,34,33,58,26,31,59
S01010170,13,8,21,15,17,26,22,25,34
S01010171,12,41,36,31,50,77,51,37,69
S01010172,22,77,54,30,33,33,39,24,36
S01010173,17,41,38,30,41,47,22,31,43
S01010174,12,22,40,26,29,37,37,36,47
S01010175,16,22,30,24,26,31,27,22,39
S01010176,21,43,47,34,37,32,37,28,38
S01010177,9,28,31,24,22,28,23,33,65
S01010178,13,19,32,31,40,56,52,46,75
S01010179,8,33,25,26,22,40,43,27,63
S01010180,19,54,46,40,52,36,39,33,67
S01010181,10,22,22,11,22,29,18,26,42
S01010182,19,39,45,24,34,33,31,32,36
S01010183,4,20,17,17,27,25,21,17,43
S01010184,17,25,19,23,24,36,29,21,50
S01010185,7,36,34,31,41,48,40,41,68
S01010186,25,48,43,37,40,31,37,24,26
S01010187,15,56,41,42,36,30,16,36,26
S01010188,103,291,184,118,121,77,74,64,86
S01010189,44,113,77,53,65,49,54,29,51
S01010190,66,128,54,54,59,31,48,30,48
S01010191,31,83,63,41,38,35,46,25,24
S01010192,32,100,66,53,61,28,43,39,50
S01010193,27,72,56,64,53,42,42,38,27
S01010194,6,27,28,34,18,39,29,24,59
S01010195,12,22,24,37,32,37,38,33,53
S01010196,6,22,28,30,19,30,28,18,30
S01010197,14,15,25,33,42,38,32,18,61
S01010198,17,38,35,29,41,55,57,47,87
S01010199,12,23,24,13,25,38,33,27,47
S01010200,8,27,34,35,38,43,31,26,40
S01010201,2,34,31,41,41,48,36,42,48
S01010202,4,24,22,16,24,41,21,48,60
S01010203,25,43,47,43,53,36,40,44,41
S01010204,10,21,17,20,31,37,34,27,54
S01010205,6,22,26,24,23,38,24,36,49
S01010206,0,0,0,0,0,0,0,0,0
S01010207,0,8,6,9,7,8,6,8,19
S01010208,17,66,67,59,35,63,43,45,85
S01010209,23,60,62,48,37,53,51,35,61
S01010210,16,68,52,43,48,59,33,33,47
S01010211,11,20,30,29,30,38,37,9,50
S01010212,24,60,44,48,42,71,58,30,87
S01010213,9,31,34,54,42,51,39,39,62
S01010214,31,74,58,60,59,41,39,51,62
S01010215,17,25,19,24,26,64,29,19,73
S01010216,6,8,20,15,28,28,36,25,44
S01010217,8,15,19,17,33,35,26,20,58
S01010218,23,67,55,35,43,46,49,30,96
S01010219,0,8,13,5,5,4,6,4,12
S01010220,18,125,62,16,31,17,23,11,32
S01010221,12,53,27,20,36,26,24,23,55
S01010222,10,56,37,30,26,45,42,25,71
S01010223,8,37,24,16,28,24,16,14,47
S01010224,11,45,23,28,58,58,43,52,93
S01010225,11,39,28,29,44,57,32,46,77
S01010226,0,0,0,0,0,0,0,0,0
S01010227,0,0,0,0,0,0,0,0,0
S01010228,15,55,55,44,46,71,39,45,81
S01010229,31,72,55,60,70,79,57,72,118
S01010230,13,41,37,22,31,70,37,53,112
S01010231,10,44,53,39,29,75,42,31,107
S01010232,17,38,34,29,36,45,32,28,84
