Data Zone 2011,All occupied households
S01008500,228
S01008501,312
S01008502,393
S01008503,430
S01008504,538
S01008505,329
S01008506,495
S01008507,459
S01008508,326
S01008509,533
S01008510,391
S01008511,354
S01008512,205
S01008513,249
S01008514,429
S01008515,334
S01008516,631
S01008517,414
S01008518,381
S01008519,330
S01008520,425
S01008521,343
S01008522,254
S01008523,455
S01008524,466
S01008525,407
S01008526,445
S01008527,330
S01008528,302
S01008529,371
S01008530,386
S01008531,393
S01008532,210
S01008533,162
S01008534,267
S01008535,283
S01008536,262
S01008537,280
S01008538,239
S01008539,346
S01008540,374
S01008541,327
S01008542,606
S01008543,256
S01008544,212
S01008545,333
S01008546,338
S01008547,455
S01008548,580
S01008549,1913
S01008550,342
S01008551,504
S01008552,381
S01008553,329
S01008554,364
S01008555,451
S01008556,365
S01008557,646
S01008558,381
S01008559,286
S01008560,316
S01008561,275
S01008562,498
S01008563,399
S01008564,307
S01008565,473
S01008566,439
S01008567,286
S01008568,357
S01008569,383
S01008570,396
S01008571,334
S01008572,319
S01008573,286
S01008574,289
S01008575,325
S01008576,395
S01008577,429
S01008578,292
S01008579,635
S01008580,258
S01008581,481
S01008582,473
S01008583,352
S01008584,373
S01008585,238
S01008586,410
S01008587,328
S01008588,343
S01008589,173
S01008590,415
S01008591,312
S01008592,363
S01008593,319
S01008594,481
S01008595,523
S01008596,447
S01008597,420
S01008598,321
S01008599,369
S01008600,301
S01008601,326
S01008602,318
S01008603,524
S01008604,420
S01008605,311
S01008606,323
S01008607,261
S01008608,310
S01008609,398
S01008610,374
S01008611,513
S01008612,346
S01008613,340
S01008614,294
S01008615,319
S01008616,255
S01008617,270
S01008618,246
S01008619,194
S01008620,276
S01008621,256
S01008622,196
S01008623,341
S01008624,356
S01008625,241
S01008626,382
S01008627,252
S01008628,271
S01008629,295
S01008630,314
S01008631,465
S01008632,375
S01008633,413
S01008634,286
S01008635,405
S01008636,315
S01008637,392
S01008638,330
S01008639,445
S01008640,394
S01008641,364
S01008642,407
S01008643,322
S01008644,389
S01008645,348
S01008646,493
S01008647,370
S01008648,318
S01008649,538
S01008650,436
S01008651,614
S01008652,324
S01008653,380
S01008654,592
S01008655,459
S01008656,441
S01008657,351
S01008658,856
S01008659,444
S01008660,538
S01008661,433
S01008662,277
S01008663,436
S01008664,392
S01008665,652
S01008666,330
S01008667,512
S01008668,309
S01008669,131
S01008670,256
S01008671,323
S01008672,334
S01008673,1100
S01008674,378
S01008675,432
S01008676,360
S01008677,393
S01008678,391
S01008679,521
S01008680,350
S01008681,520
S01008682,415
S01008683,591
S01008684,589
S01008685,471
S01008686,634
S01008687,399
S01008688,506
S01008689,498
S01008690,786
S01008691,715
S01008692,818
S01008693,159
S01008694,518
S01008695,342
S01008696,276
S01008697,439
S01008698,196
S01008699,473
S01008700,261
S01008701,691
S01008702,300
S01008703,478
S01008704,1641
S01008705,367
S01008706,317
S01008707,392
S01008708,510
S01008709,272
S01008710,228
S01008711,393
S01008712,538
S01008713,253
S01008714,253
S01008715,352
S01008716,298
S01008717,204
S01008718,367
S01008719,451
S01008720,758
S01008721,327
S01008722,518
S01008723,309
S01008724,427
S01008725,300
S01008726,238
S01008727,455
S01008728,279
S01008729,277
S01008730,381
S01008731,253
S01008732,335
S01008733,839
S01008734,312
S01008735,389
S01008736,306
S01008737,285
S01008738,307
S01008739,292
S01008740,193
S01008741,410
S01008742,280
S01008743,451
S01008744,501
S01008745,237
S01008746,532
S01008747,207
S01008748,283
S01008749,437
S01008750,301
S01008751,274
S01008752,344
S01008753,298
S01008754,319
S01008755,619
S01008756,375
S01008757,322
S01008758,379
S01008759,302
S01008760,460
S01008761,248
S01008762,304
S01008763,429
S01008764,301
S01008765,403
S01008766,414
S01008767,249
S01008768,1157
S01008769,573
S01008770,463
S01008771,579
S01008772,387
S01008773,587
S01008774,562
S01008775,267
S01008776,402
S01008777,597
S01008778,660
S01008779,458
S01008780,237
S01008781,650
S01008782,405
S01008783,254
S01008784,244
S01008785,402
S01008786,561
S01008787,162
S01008788,412
S01008789,503
S01008790,340
S01008791,469
S01008792,474
S01008793,285
S01008794,529
S01008795,533
S01008796,591
S01008797,484
S01008798,536
S01008799,327
S01008800,654
S01008801,529
S01008802,605
S01008803,508
S01008804,314
S01008805,314
S01008806,721
S01008807,466
S01008808,406
S01008809,346
S01008810,394
S01008811,336
S01008812,206
S01008813,563
S01008814,399
S01008815,546
S01008816,345
S01008817,624
S01008818,524
S01008819,373
S01008820,591
S01008821,274
S01008822,281
S01008823,269
S01008824,502
S01008825,343
S01008826,321
S01008827,273
S01008828,434
S01008829,291
S01008830,401
S01008831,357
S01008832,347
S01008833,506
S01008834,494
S01008835,400
S01008836,455
S01008837,756
S01008838,674
S01008839,587
S01008840,505
S01008841,387
S01008842,406
S01008843,652
S01008844,365
S01008845,519
S01008846,334
S01008847,273
S01008848,358
S01008849,348
S01008850,358
S01008851,575
S01008852,451
S01008853,317
S01008854,485
S01008855,645
S01008856,312
S01008857,432
S01008858,326
S01008859,667
S01008860,508
S01008861,347
S01008862,514
S01008863,382
S01008864,429
S01008865,441
S01008866,443
S01008867,412
S01008868,494
S01008869,611
S01008870,418
S01008871,444
S01008872,425
S01008873,455
S01008874,554
S01008875,509
S01008876,295
S01008877,232
S01008878,453
S01008879,387
S01008880,284
S01008881,370
S01008882,430
S01008883,382
S01008884,306
S01008885,339
S01008886,497
S01008887,331
S01008888,352
S01008889,445
S01008890,295
S01008891,342
S01008892,529
S01008893,355
S01008894,366
S01008895,305
S01008896,247
S01008897,305
S01008898,333
S01008899,368
S01008900,403
S01008901,363
S01008902,483
S01008903,455
S01008904,416
S01008905,479
S01008906,360
S01008907,409
S01008908,734
S01008909,342
S01008910,207
S01008911,712
S01008912,325
S01008913,285
S01008914,380
S01008915,230
S01008916,547
S01008917,347
S01008918,231
S01008919,247
S01008920,1038
S01008921,488
S01008922,377
S01008923,493
S01008924,340
S01008925,279
S01008926,243
S01008927,474
S01008928,408
S01008929,551
S01008930,374
S01008931,727
S01008932,419
S01008933,283
S01008934,335
S01008935,362
S01008936,159
S01008937,426
S01008938,283
S01008939,314
S01008940,251
S01008941,387
S01008942,331
S01008943,344
S01008944,428
S01008945,319
S01008946,473
S01008947,464
S01008948,299
S01008949,397
S01008950,421
S01008951,436
S01008952,421
S01008953,414
S01008954,486
S01008955,249
S01008956,471
S01008957,429
S01008958,448
S01008959,365
S01008960,449
S01008961,313
S01008962,279
S01008963,348
S01008964,215
S01008965,348
S01008966,271
S01008967,430
S01008968,708
S01008969,429
S01008970,442
S01008971,271
S01008972,305
S01008973,400
S01008974,373
S01008975,436
S01008976,210
S01008977,264
S01008978,252
S01008979,310
S01008980,334
S01008981,331
S01008982,357
S01008983,320
S01008984,230
S01008985,519
S01008986,336
S01008987,325
S01008988,487
S01008989,350
S01008990,546
S01008991,387
S01008992,261
S01008993,492
S01008994,313
S01008995,331
S01008996,404
S01008997,463
S01008998,335
S01008999,405
S01009000,703
S01009001,301
S01009002,1173
S01009003,413
S01009004,271
S01009005,423
S01009006,335
S01009007,285
S01009008,439
S01009009,255
S01009010,405
S01009011,322
S01009012,292
S01009013,348
S01009014,288
S01009015,316
S01009016,256
S01009017,262
S01009018,359
S01009019,215
S01009020,361
S01009021,367
S01009022,444
S01009023,419
S01009024,487
S01009025,452
S01009026,461
S01009027,366
S01009028,241
S01009029,270
S01009030,292
S01009031,366
S01009032,313
S01009033,344
S01009034,296
S01009035,413
S01009036,450
S01009037,377
S01009038,428
S01009039,272
S01009040,358
S01009041,538
S01009042,293
S01009043,291
S01009044,364
S01009045,338
S01009046,487
S01009047,336
S01009048,341
S01009049,249
S01009050,412
S01009051,287
S01009052,303
S01009053,340
S01009054,239
S01009055,540
S01009056,216
S01009057,262
S01009058,405
S01009059,323
S01009060,546
S01009061,328
S01009062,307
S01009063,301
S01009064,260
S01009065,299
S01009066,329
S01009067,327
S01009068,380
S01009069,250
S01009070,253
S01009071,214
S01009072,198
S01009073,297
S01009074,290
S01009075,239
S01009076,403
S01009077,256
S01009078,269
S01009079,385
S01009080,458
S01009081,281
S01009082,506
S01009083,341
S01009084,312
S01009085,291
S01009086,300
S01009087,248
S01009088,405
S01009089,302
S01009090,905
S01009091,262
S01009092,558
S01009093,342
S01009094,290
S01009095,446
S01009096,390
S01009097,344
S01009098,191
S01009099,360
S01009100,420
S01009101,374
S01009102,323
S01009103,243
S01009104,357
S01009105,340
S01009106,266
S01009107,335
S01009108,315
S01009109,267
S01009110,273
S01009111,378
S01009112,239
S01009113,375
S01009114,339
S01009115,261
S01009116,190
S01009117,353
S01009118,219
S01009119,299
S01009120,237
S01009121,364
S01009122,1117
S01009123,223
S01009124,212
S01009125,287
S01009126,292
S01009127,291
S01009128,439
S01009129,209
S01009130,225
S01009131,288
S01009132,334
S01009133,337
S01009134,399
S01009135,271
S01009136,277
S01009137,289
S01009138,397
S01009139,262
S01009140,357
S01009141,473
S01009142,468
S01009143,308
S01009144,432
S01009145,478
S01009146,409
S01009147,291
S01009148,250
S01009149,376
S01009150,589
S01009151,468
S01009152,459
S01009153,267
S01009154,454
S01009155,231
S01009156,267
S01009157,402
S01009158,238
S01009159,215
S01009160,331
S01009161,337
S01009162,445
S01009163,256
S01009164,345
S01009165,316
S01009166,341
S01009167,204
S01009168,310
S01009169,440
S01009170,306
S01009171,302
S01009172,284
S01009173,310
S01009174,161
S01009175,308
S01009176,427
S01009177,361
S01009178,336
S01009179,255
S01009180,469
S01009181,332
S01009182,420
S01009183,257
S01009184,381
S01009185,365
S01009186,307
S01009187,237
S01009188,376
S01009189,334
S01009190,521
S01009191,239
S01009192,261
S01009193,754
S01009194,319
S01009195,346
S01009196,289
S01009197,438
S01009198,298
S01009199,243
S01009200,681
S01009201,258
S01009202,187
S01009203,298
S01009204,352
S01009205,371
S01009206,340
S01009207,369
S01009208,303
S01009209,343
S01009210,197
S01009211,218
S01009212,359
S01009213,318
S01009214,412
S01009215,406
S01009216,449
S01009217,288
S01009218,374
S01009219,296
S01009220,262
S01009221,237
S01009222,211
S01009223,281
S01009224,299
S01009225,261
S01009226,497
S01009227,328
S01009228,283
S01009229,260
S01009230,241
S01009231,468
S01009232,292
S01009233,254
S01009234,448
S01009235,449
S01009236,235
S01009237,378
S01009238,333
S01009239,428
S01009240,321
S01009241,430
S01009242,330
S01009243,393
S01009244,363
S01009245,352
S01009246,387
S01009247,433
S01009248,300
S01009249,411
S01009250,274
S01009251,226
S01009252,162
S01009253,237
S01009254,375
S01009255,378
S01009256,217
S01009257,355
S01009258,447
S01009259,374
S01009260,464
S01009261,354
S01009262,276
S01009263,472
S01009264,226
S01009265,478
S01009266,393
S01009267,375
S01009268,516
S01009269,367
S01009270,324
S01009271,351
S01009272,283
S01009273,218
S01009274,248
S01009275,403
S01009276,382
S01009277,497
S01009278,263
S01009279,368
S01009280,405
S01009281,369
S01009282,353
S01009283,271
S01009284,315
S01009285,353
S01009286,361
S01009287,337
S01009288,436
S01009289,377
S01009290,281
S01009291,410
S01009292,241
S01009293,303
S01009294,295
S01009295,263
S01009296,187
S01009297,336
S01009298,542
S01009299,566
S01009300,326
S01009301,646
S01009302,431
S01009303,367
S01009304,435
S01009305,407
S01009306,613
S01009307,630
S01009308,326
S01009309,426
S01009310,392
S01009311,278
S01009312,402
S01009313,284
S01009314,233
S01009315,284
S01009316,319
S01009317,326
S01009318,236
S01009319,413
S01009320,377
S01009321,292
S01009322,334
S01009323,330
S01009324,255
S01009325,288
S01009326,211
S01009327,315
S01009328,320
S01009329,674
S01009330,201
S01009331,791
S01009332,429
S01009333,450
S01009334,318
S01009335,395
S01009336,319
S01009337,316
S01009338,507
S01009339,432
S01009340,300
S01009341,273
S01009342,330
S01009343,247
S01009344,309
S01009345,373
S01009346,229
S01009347,222
S01009348,169
S01009349,287
S01009350,240
S01009351,211
S01009352,285
S01009353,491
S01009354,774
S01009355,356
S01009356,414
S01009357,183
S01009358,257
S01009359,281
S01009360,372
S01009361,340
S01009362,417
S01009363,371
S01009364,348
S01009365,277
S01009366,308
S01009367,310
S01009368,210
S01009369,280
S01009370,384
S01009371,238
S01009372,217
S01009373,493
S01009374,464
S01009375,331
S01009376,268
S01009377,368
S01009378,383
S01009379,342
S01009380,214
S01009381,279
S01009382,377
S01009383,416
S01009384,250
S01009385,222
S01009386,254
S01009387,347
S01009388,352
S01009389,484
S01009390,233
S01009391,275
S01009392,193
S01009393,271
S01009394,494
S01009395,302
S01009396,292
S01009397,347
S01009398,302
S01009399,303
S01009400,222
S01009401,283
S01009402,387
S01009403,204
S01009404,287
S01009405,204
S01009406,471
S01009407,239
S01009408,397
S01009409,446
S01009410,353
S01009411,321
S01009412,408
S01009413,494
S01009414,290
S01009415,325
S01009416,200
S01009417,452
S01009418,499
S01009419,257
S01009420,267
S01009421,313
S01009422,377
S01009423,492
S01009424,270
S01009425,373
S01009426,400
S01009427,320
S01009428,278
S01009429,324
S01009430,324
S01009431,310
S01009432,332
S01009433,326
S01009434,247
S01009435,330
S01009436,291
S01009437,313
S01009438,414
S01009439,354
S01009440,314
S01009441,344
S01009442,219
S01009443,730
S01009444,273
S01009445,364
S01009446,476
S01009447,268
S01009448,504
S01009449,209
S01009450,289
S01009451,453
S01009452,302
S01009453,416
S01009454,405
S01009455,501
S01009456,488
S01009457,268
S01009458,317
S01009459,451
S01009460,399
S01009461,283
S01009462,311
S01009463,312
S01009464,402
S01009465,265
S01009466,245
S01009467,313
S01009468,406
S01009469,407
S01009470,221
S01009471,379
S01009472,423
S01009473,468
S01009474,392
S01009475,225
S01009476,309
S01009477,389
S01009478,501
S01009479,496
S01009480,428
S01009481,473
S01009482,326
S01009483,431
S01009484,481
S01009485,365
S01009486,299
S01009487,421
S01009488,271
S01009489,388
S01009490,368
S01009491,411
S01009492,236
S01009493,373
S01009494,390
S01009495,380
S01009496,371
S01009497,460
S01009498,278
S01009499,348
S01009500,330
S01009501,417
S01009502,367
S01009503,331
S01009504,289
S01009505,343
S01009506,342
S01009507,345
S01009508,392
S01009509,401
S01009510,302
S01009511,258
S01009512,314
S01009513,245
S01009514,284
S01009515,360
S01009516,370
S01009517,348
S01009518,317
S01009519,361
S01009520,336
S01009521,386
S01009522,384
S01009523,253
S01009524,362
S01009525,264
S01009526,348
S01009527,394
S01009528,340
S01009529,258
S01009530,255
S01009531,616
S01009532,456
S01009533,529
S01009534,471
S01009535,389
S01009536,240
S01009537,269
S01009538,476
S01009539,424
S01009540,455
S01009541,545
S01009542,387
S01009543,296
S01009544,463
S01009545,302
S01009546,482
S01009547,395
S01009548,268
S01009549,341
S01009550,213
S01009551,230
S01009552,412
S01009553,415
S01009554,306
S01009555,378
S01009556,328
S01009557,277
S01009558,296
S01009559,349
S01009560,382
S01009561,300
S01009562,341
S01009563,362
S01009564,312
S01009565,246
S01009566,415
S01009567,415
S01009568,319
S01009569,345
S01009570,235
S01009571,298
S01009572,435
S01009573,317
S01009574,435
S01009575,216
S01009576,212
S01009577,229
S01009578,302
S01009579,420
S01009580,373
S01009581,237
S01009582,234
S01009583,364
S01009584,210
S01009585,397
S01009586,301
S01009587,383
S01009588,425
S01009589,348
S01009590,265
S01009591,294
S01009592,244
S01009593,261
S01009594,273
S01009595,156
S01009596,341
S01009597,359
S01009598,288
S01009599,375
S01009600,316
S01009601,310
S01009602,285
S01009603,174
S01009604,367
S01009605,286
S01009606,328
S01009607,314
S01009608,281
S01009609,341
S01009610,495
S01009611,251
S01009612,284
S01009613,189
S01009614,236
S01009615,173
S01009616,336
S01009617,310
S01009618,348
S01009619,313
S01009620,396
S01009621,386
S01009622,408
S01009623,241
S01009624,397
S01009625,380
S01009626,236
S01009627,343
S01009628,267
S01009629,442
S01009630,345
S01009631,380
S01009632,308
S01009633,321
S01009634,248
S01009635,459
S01009636,411
S01009637,311
S01009638,435
S01009639,339
S01009640,369
S01009641,532
S01009642,515
S01009643,464
S01009644,371
S01009645,295
S01009646,269
S01009647,334
S01009648,400
S01009649,455
S01009650,350
S01009651,579
S01009652,413
S01009653,227
S01009654,279
S01009655,362
S01009656,378
S01009657,365
S01009658,291
S01009659,263
S01009660,452
S01009661,369
S01009662,287
S01009663,285
S01009664,399
S01009665,325
S01009666,333
S01009667,231
S01009668,247
S01009669,237
S01009670,339
S01009671,260
S01009672,358
S01009673,344
S01009674,381
S01009675,376
S01009676,375
S01009677,250
S01009678,267
S01009679,485
S01009680,351
S01009681,291
S01009682,272
S01009683,367
S01009684,486
S01009685,264
S01009686,505
S01009687,289
S01009688,414
S01009689,382
S01009690,323
S01009691,266
S01009692,497
S01009693,253
S01009694,453
S01009695,240
S01009696,425
S01009697,347
S01009698,285
S01009699,222
S01009700,302
S01009701,271
S01009702,270
S01009703,296
S01009704,423
S01009705,377
S01009706,297
S01009707,217
S01009708,481
S01009709,438
S01009710,186
S01009711,350
S01009712,302
S01009713,433
S01009714,477
S01009715,360
S01009716,306
S01009717,292
S01009718,340
S01009719,317
S01009720,368
S01009721,193
S01009722,558
S01009723,281
S01009724,460
S01009725,188
S01009726,232
S01009727,265
S01009728,335
S01009729,277
S01009730,225
S01009731,253
S01009732,339
S01009733,194
S01009734,382
S01009735,309
S01009736,325
S01009737,361
S01009738,256
S01009739,324
S01009740,244
S01009741,165
S01009742,215
S01009743,428
S01009744,313
S01009745,575
S01009746,251
S01009747,362
S01009748,371
S01009749,438
S01009750,330
S01009751,360
S01009752,274
S01009753,300
S01009754,433
S01009755,256
S01009756,299
S01009757,326
S01009758,263
S01009759,463
S01009760,451
S01009761,333
S01009762,435
S01009763,252
S01009764,285
S01009765,369
S01009766,181
S01009767,798
S01009768,341
S01009769,389
S01009770,258
S01009771,274
S01009772,253
S01009773,178
S01009774,153
S01009775,798
S01009776,308
S01009777,210
S01009778,404
S01009779,291
S01009780,237
S01009781,240
S01009782,300
S01009783,281
S01009784,418
S01009785,380
S01009786,436
S01009787,398
S01009788,395
S01009789,373
S01009790,254
S01009791,339
S01009792,327
S01009793,657
S01009794,226
S01009795,285
S01009796,319
S01009797,332
S01009798,256
S01009799,383
S01009800,435
S01009801,356
S01009802,406
S01009803,330
S01009804,190
S01009805,361
S01009806,412
S01009807,354
S01009808,266
S01009809,320
S01009810,343
S01009811,498
S01009812,362
S01009813,362
S01009814,357
S01009815,325
S01009816,303
S01009817,345
S01009818,457
S01009819,246
S01009820,439
S01009821,287
S01009822,195
S01009823,299
S01009824,365
S01009825,434
S01009826,231
S01009827,375
S01009828,311
S01009829,519
S01009830,316
S01009831,266
S01009832,469
S01009833,244
S01009834,389
S01009835,263
S01009836,418
S01009837,365
S01009838,495
S01009839,528
S01009840,448
S01009841,426
S01009842,329
S01009843,456
S01009844,500
S01009845,427
S01009846,606
S01009847,398
S01009848,430
S01009849,450
S01009850,475
S01009851,501
S01009852,248
S01009853,395
S01009854,410
S01009855,250
S01009856,301
S01009857,371
S01009858,336
S01009859,650
S01009860,568
S01009861,513
S01009862,663
S01009863,517
S01009864,471
S01009865,448
S01009866,468
S01009867,668
S01009868,301
S01009869,353
S01009870,307
S01009871,591
S01009872,408
S01009873,384
S01009874,483
S01009875,345
S01009876,96
S01009877,374
S01009878,272
S01009879,332
S01009880,258
S01009881,317
S01009882,644
S01009883,271
S01009884,377
S01009885,241
S01009886,271
S01009887,494
S01009888,244
S01009889,366
S01009890,238
S01009891,351
S01009892,474
S01009893,402
S01009894,457
S01009895,487
S01009896,472
S01009897,504
S01009898,265
S01009899,462
S01009900,411
S01009901,483
S01009902,506
S01009903,339
S01009904,486
S01009905,382
S01009906,260
S01009907,611
S01009908,523
S01009909,520
S01009910,231
S01009911,381
S01009912,355
S01009913,311
S01009914,429
S01009915,379
S01009916,305
S01009917,326
S01009918,290
S01009919,636
S01009920,532
S01009921,450
S01009922,602
S01009923,564
S01009924,579
S01009925,444
S01009926,336
S01009927,303
S01009928,535
S01009929,268
S01009930,452
S01009931,417
S01009932,418
S01009933,487
S01009934,455
S01009935,641
S01009936,354
S01009937,217
S01009938,510
S01009939,301
S01009940,428
S01009941,315
S01009942,484
S01009943,437
S01009944,267
S01009945,497
S01009946,344
S01009947,285
S01009948,425
S01009949,384
S01009950,256
S01009951,254
S01009952,306
S01009953,357
S01009954,251
S01009955,546
S01009956,323
S01009957,291
S01009958,364
S01009959,287
S01009960,345
S01009961,295
S01009962,601
S01009963,311
S01009964,422
S01009965,351
S01009966,267
S01009967,392
S01009968,228
S01009969,341
S01009970,439
S01009971,476
S01009972,376
S01009973,276
S01009974,289
S01009975,435
S01009976,239
S01009977,463
S01009978,474
S01009979,348
S01009980,367
S01009981,325
S01009982,423
S01009983,270
S01009984,301
S01009985,241
S01009986,228
S01009987,495
S01009988,297
S01009989,374
S01009990,315
S01009991,302
S01009992,357
S01009993,329
S01009994,316
S01009995,236
S01009996,258
S01009997,269
S01009998,233
S01009999,268
S01010000,234
S01010001,309
S01010002,325
S01010003,273
S01010004,245
S01010005,676
S01010006,777
S01010007,417
S01010008,449
S01010009,433
S01010010,466
S01010011,505
S01010012,356
S01010013,485
S01010014,519
S01010015,378
S01010016,349
S01010017,291
S01010018,654
S01010019,427
S01010020,341
S01010021,256
S01010022,1216
S01010023,345
S01010024,455
S01010025,308
S01010026,504
S01010027,474
S01010028,370
S01010029,343
S01010030,407
S01010031,416
S01010032,300
S01010033,867
S01010034,833
S01010035,151
S01010036,423
S01010037,393
S01010038,574
S01010039,572
S01010040,476
S01010041,489
S01010042,561
S01010043,463
S01010044,623
S01010045,271
S01010046,650
S01010047,453
S01010048,971
S01010049,394
S01010050,718
S01010051,548
S01010052,643
S01010053,391
S01010054,330
S01010055,524
S01010056,282
S01010057,277
S01010058,344
S01010059,369
S01010060,480
S01010061,241
S01010062,412
S01010063,557
S01010064,235
S01010065,372
S01010066,343
S01010067,303
S01010068,768
S01010069,340
S01010070,232
S01010071,351
S01010072,353
S01010073,340
S01010074,300
S01010075,291
S01010076,265
S01010077,281
S01010078,225
S01010079,356
S01010080,292
S01010081,287
S01010082,389
S01010083,295
S01010084,407
S01010085,295
S01010086,387
S01010087,241
S01010088,1318
S01010089,300
S01010090,375
S01010091,377
S01010092,388
S01010093,349
S01010094,276
S01010095,265
S01010096,278
S01010097,296
S01010098,273
S01010099,276
S01010100,352
S01010101,308
S01010102,258
S01010103,429
S01010104,357
S01010105,184
S01010106,101
S01010107,330
S01010108,340
S01010109,449
S01010110,438
S01010111,363
S01010112,496
S01010113,304
S01010114,365
S01010115,155
S01010116,564
S01010117,616
S01010118,304
S01010119,208
S01010120,491
S01010121,254
S01010122,224
S01010123,335
S01010124,282
S01010125,180
S01010126,318
S01010127,285
S01010128,225
S01010129,378
S01010130,378
S01010131,320
S01010132,461
S01010133,373
S01010134,571
S01010135,350
S01010136,374
S01010137,545
S01010138,569
S01010139,506
S01010140,413
S01010141,498
S01010142,375
S01010143,380
S01010144,346
S01010145,391
S01010146,370
S01010147,488
S01010148,542
S01010149,476
S01010150,395
S01010151,370
S01010152,378
S01010153,484
S01010154,456
S01010155,428
S01010156,252
S01010157,270
S01010158,421
S01010159,343
S01010160,269
S01010161,268
S01010162,331
S01010163,327
S01010164,291
S01010165,333
S01010166,476
S01010167,424
S01010168,224
S01010169,319
S01010170,238
S01010171,489
S01010172,494
S01010173,313
S01010174,242
S01010175,244
S01010176,363
S01010177,302
S01010178,369
S01010179,381
S01010180,301
S01010181,238
S01010182,298
S01010183,226
S01010184,287
S01010185,337
S01010186,241
S01010187,286
S01010188,731
S01010189,340
S01010190,273
S01010191,264
S01010192,291
S01010193,303
S01010194,264
S01010195,217
S01010196,275
S01010197,265
S01010198,367
S01010199,258
S01010200,295
S01010201,246
S01010202,384
S01010203,283
S01010204,342
S01010205,286
S01010206,0
S01010207,112
S01010208,542
S01010209,512
S01010210,409
S01010211,364
S01010212,684
S01010213,453
S01010214,393
S01010215,508
S01010216,324
S01010217,267
S01010218,553
S01010219,74
S01010220,270
S01010221,375
S01010222,382
S01010223,315
S01010224,517
S01010225,440
S01010226,0
S01010227,0
S01010228,562
S01010229,588
S01010230,648
S01010231,492
S01010232,323
S01010233,361
S01010234,570
S01010235,399
S01010236,380
S01010237,345
S01010238,401
S01010239,419
S01010240,400
S01010241,621
S01010242,394
S01010243,583
S01010244,344
S01010245,407
S01010246,423
S01010247,409
S01010248,455
S01010249,401
S01010250,389
S01010251,316
S01010252,289
S01010253,359
S01010254,528
S01010255,465
S01010256,541
S01010257,524
S01010258,410
S01010259,494
S01010260,759
S01010261,507
S01010262,520
S01010263,433
S01010264,585
S01010265,505
S01010266,286
S01010267,287
S01010268,431
S01010269,290
S01010270,836
S01010271,362
S01010272,732
S01010273,438
S01010274,380
S01010275,380
S01010276,587
S01010277,407
S01010278,364
S01010279,311
S01010280,485
S01010281,476
S01010282,597
S01010283,540
S01010284,689
S01010285,439
S01010286,463
S01010287,319
S01010288,438
S01010289,467
S01010290,382
S01010291,514
S01010292,395
S01010293,353
S01010294,266
S01010295,433
S01010296,282
S01010297,630
S01010298,505
S01010299,324
S01010300,494
S01010301,226
S01010302,380
S01010303,265
S01010304,421
S01010305,545
S01010306,388
S01010307,437
S01010308,516
S01010309,141
S01010310,324
S01010311,321
S01010312,430
S01010313,307
S01010314,691
S01010315,387
S01010316,326
S01010317,574
S01010318,558
S01010319,407
S01010320,513
S01010321,455
S01010322,477
S01010323,318
S01010324,389
S01010325,500
S01010326,577
S01010327,364
S01010328,497
S01010329,332
S01010330,269
S01010331,498
S01010332,313
S01010333,533
S01010334,497
S01010335,371
S01010336,320
S01010337,346
S01010338,245
S01010339,241
S01010340,359
S01010341,264
S01010342,280
S01010343,353
S01010344,398
S01010345,277
S01010346,431
S01010347,489
S01010348,416
S01010349,397
S01010350,479
S01010351,387
S01010352,285
S01010353,553
S01010354,365
S01010355,425
S01010356,395
S01010357,265
S01010358,526
S01010359,510
S01010360,359
S01010361,428
S01010362,490
S01010363,411
S01010364,368
S01010365,444
S01010366,516
S01010367,536
S01010368,393
S01010369,379
S01010370,337
S01010371,550
S01010372,272
S01010373,431
S01010374,446
S01010375,255
S01010376,359
S01010377,384
S01010378,297
S01010379,497
S01010380,537
S01010381,333
S01010382,466
S01010383,382
S01010384,494
S01010385,514
S01010386,530
S01010387,578
S01010388,570
S01010389,699
S01010390,770
S01010391,520
S01010392,425
S01010393,651
S01010394,546
S01010395,631
S01010396,596
S01010397,376
S01010398,576
S01010399,641
S01010400,513
S01010401,424
S01010402,514
S01010403,533
S01010404,501
S01010405,495
S01010406,468
S01010407,449
S01010408,284
S01010409,195
S01010410,321
S01010411,392
S01010412,390
S01010413,400
S01010414,473
S01010415,621
S01010416,317
S01010417,281
S01010418,556
S01010419,501
S01010420,302
S01010421,343
S01010422,478
S01010423,485
S01010424,480
S01010425,608
S01010426,380
S01010427,436
S01010428,313
S01010429,414
S01010430,472
S01010431,252
S01010432,452
S01010433,231
S01010434,332
S01010435,288
S01010436,468
S01010437,266
S01010438,361
S01010439,486
S01010440,366
S01010441,551
S01010442,381
S01010443,242
S01010444,248
S01010445,328
S01010446,327
S01010447,503
S01010448,317
S01010449,363
S01010450,399
S01010451,445
S01010452,392
S01010453,338
S01010454,381
S01010455,512
S01010456,297
S01010457,211
S01010458,375
S01010459,237
S01010460,343
S01010461,351
S01010462,367
S01010463,368
S01010464,242
S01010465,442
S01010466,452
S01010467,463
S01010468,431
S01010469,412
S01010470,357
S01010471,331
S01010472,396
S01010473,465
S01010474,370
S01010475,431
S01010476,620
S01010477,368
S01010478,508
S01010479,524
S01010480,281
S01010481,265
S01010482,345
S01010483,548
S01010484,239
S01010485,388
S01010486,386
S01010487,431
S01010488,321
S01010489,454
S01010490,272
S01010491,394
S01010492,253
S01010493,290
S01010494,225
S01010495,416
