Intermediate Zone - Data Zone 2011,Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S01010223,61,29,49,23,6,1,0,1,3,38
S01010224,126,26,109,31,15,1,3,2,7,76
S01010225,95,29,83,31,7,4,1,4,3,74
S01010226,0,0,0,0,0,0,0,0,0,0
S01010227,0,0,0,0,0,0,0,0,0,0
S01010228,106,17,113,53,32,4,4,3,0,97
S01010229,165,65,123,75,28,5,5,5,6,111
S01010230,126,31,47,39,21,2,0,8,3,92
S01010231,116,53,85,44,22,3,0,3,1,77
S01010232,90,48,69,22,21,1,0,3,3,63
S01010233,75,42,72,31,12,3,0,0,0,33
S01010234,219,37,132,67,27,9,9,8,2,83
S01010235,177,39,115,33,35,5,7,8,6,59
S01010236,143,47,98,43,32,1,8,10,11,50
S01010237,153,32,89,39,27,8,5,4,4,63
S01010238,171,37,99,38,21,7,6,4,10,62
S01010239,126,39,88,30,15,0,2,4,2,34
S01010240,143,30,103,44,30,4,8,3,8,42
S01010241,183,29,151,56,42,0,9,4,8,68
S01010242,99,29,106,39,15,1,1,0,0,31
S01010243,163,28,117,60,32,2,4,4,7,75
S01010244,89,33,67,20,8,1,6,1,1,41
S01010245,73,28,58,18,15,0,0,1,4,47
S01010246,113,25,83,20,20,0,4,0,5,50
S01010247,97,19,91,36,32,4,3,1,4,49
S01010248,177,42,141,49,44,9,11,11,10,64
S01010249,160,24,119,41,18,8,6,4,13,33
S01010250,186,34,107,53,27,2,4,5,9,52
S01010251,155,40,87,34,24,11,6,6,7,35
S01010252,150,26,70,28,19,4,4,6,1,46
S01010253,84,37,61,24,15,6,2,3,3,37
S01010254,146,49,78,38,27,6,6,5,5,54
S01010255,128,29,78,22,27,3,4,3,4,57
S01010256,124,41,74,47,20,3,4,0,3,39
S01010257,192,92,72,24,21,1,4,6,8,71
S01010258,147,96,39,20,14,4,12,6,5,32
S01010259,102,74,15,15,11,5,8,2,6,60
S01010260,257,123,62,29,30,8,8,7,9,73
S01010261,140,91,54,29,20,1,3,5,8,55
S01010262,87,43,38,19,4,0,2,3,8,29
S01010263,133,106,30,26,18,2,10,1,7,55
S01010264,182,115,39,23,18,0,7,7,4,71
S01010265,198,120,27,19,11,2,8,4,16,38
S01010266,130,60,42,21,7,5,3,1,4,33
S01010267,98,91,34,7,6,0,8,1,4,24
S01010268,128,97,34,19,22,5,7,3,5,38
S01010269,85,46,24,9,13,8,5,3,0,22
S01010270,184,99,54,22,22,14,5,3,5,58
S01010271,125,83,31,18,16,1,9,0,8,54
S01010272,207,129,57,29,21,0,9,6,9,59
S01010273,205,121,27,20,10,1,5,0,13,45
S01010274,140,81,38,28,11,1,3,8,5,49
S01010275,135,92,31,22,9,1,5,0,16,26
S01010276,281,90,88,36,28,11,12,10,11,62
S01010277,92,73,53,22,11,1,3,0,7,46
S01010278,102,83,36,24,7,8,3,0,3,46
S01010279,85,48,42,23,16,2,7,3,0,43
S01010280,177,106,67,26,21,5,5,2,17,46
S01010281,180,94,55,28,27,7,4,5,6,48
S01010282,138,62,83,28,16,0,5,5,10,58
S01010283,233,83,115,38,23,7,6,6,10,75
S01010284,255,78,170,47,30,8,5,6,15,67
S01010285,138,60,80,32,16,0,7,1,10,44
S01010286,199,70,107,24,19,7,8,5,5,55
S01010287,111,39,75,11,13,6,1,8,7,34
S01010288,188,81,75,29,24,5,10,6,16,52
S01010289,234,79,75,31,36,12,3,2,14,55
S01010290,148,61,60,23,23,6,6,6,4,43
S01010291,162,57,95,32,6,0,7,7,16,50
S01010292,153,59,98,22,21,7,6,2,7,23
S01010293,124,47,53,16,18,2,5,4,4,38
S01010294,92,57,57,11,18,3,6,3,4,28
S01010295,164,88,102,23,29,3,8,0,11,51
S01010296,99,56,53,7,15,5,2,3,5,35
S01010297,157,94,82,40,22,8,5,4,10,73
S01010298,126,47,64,16,18,4,0,3,4,39
S01010299,87,27,44,25,15,1,5,4,2,37
S01010300,139,72,72,26,18,6,1,7,5,54
S01010301,81,27,37,12,12,1,3,2,3,19
S01010302,88,25,57,17,11,2,0,4,4,48
S01010303,69,21,39,18,7,5,2,3,3,40
S01010304,108,21,62,23,8,0,4,1,5,25
S01010305,147,36,98,22,22,4,3,1,11,49
S01010306,125,41,87,24,16,5,8,4,5,36
S01010307,192,42,125,25,33,6,5,2,12,41
S01010308,180,58,130,45,24,3,13,4,7,61
S01010309,29,9,29,13,4,2,0,0,0,11
S01010310,100,17,52,16,6,2,0,2,5,44
S01010311,68,27,51,23,18,1,0,2,5,38
S01010312,93,27,63,22,17,2,2,6,1,69
S01010313,63,27,55,16,8,0,1,2,3,47
S01010314,173,48,122,48,20,5,6,5,2,79
S01010315,148,28,109,47,17,7,7,0,6,69
S01010316,78,21,61,13,9,6,2,1,5,59
S01010317,230,38,134,35,28,14,7,6,9,60
S01010318,146,39,121,39,13,6,2,3,4,61
S01010319,149,16,104,34,12,8,5,2,8,38
S01010320,150,23,118,29,16,4,8,3,1,53
S01010321,132,33,101,29,12,11,4,2,11,49
S01010322,192,33,143,44,22,18,6,6,9,45
S01010323,47,13,51,20,4,1,0,2,5,28
S01010324,60,29,67,22,9,1,1,0,0,51
S01010325,96,23,89,61,11,1,3,3,0,71
S01010326,158,36,122,51,20,4,4,0,6,94
S01010327,134,31,75,45,24,6,0,1,4,68
S01010328,111,27,124,50,21,2,2,0,1,66
S01010329,79,15,51,31,12,0,6,1,0,40
S01010330,56,7,54,25,9,1,5,1,1,35
S01010331,85,29,100,49,24,1,4,0,1,60
S01010332,87,24,70,40,20,1,1,1,3,63
S01010333,127,24,87,64,19,6,6,4,1,75
S01010334,157,33,103,89,27,5,6,1,0,87
S01010335,78,28,91,48,20,1,5,1,2,57
S01010336,65,9,27,45,5,2,0,0,4,44
S01010337,76,24,68,49,12,0,2,0,1,68
S01010338,46,9,43,31,8,1,0,0,1,34
S01010339,53,14,60,45,19,0,0,2,0,43
S01010340,102,23,64,58,14,1,2,4,2,37
S01010341,78,21,52,56,20,2,4,0,7,52
S01010342,73,14,51,88,20,4,1,0,1,51
S01010343,147,5,70,117,30,6,2,5,3,69
S01010344,70,13,56,29,11,3,1,0,0,46
S01010345,151,5,60,101,28,11,3,6,6,83
S01010346,167,15,83,100,25,3,4,3,6,56
