Intermediate Zone - Data Zone 2011,Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S01009893,145,31,92,31,8,4,3,2,2,81
S01009894,121,30,52,24,12,6,5,3,2,61
S01009895,123,32,69,63,19,1,4,4,1,56
S01009896,155,33,65,43,14,4,7,4,2,65
S01009897,168,36,82,64,26,2,7,6,5,93
S01009898,66,27,38,26,18,2,3,1,3,43
S01009899,194,20,66,109,34,10,7,5,6,50
S01009900,199,22,98,102,28,13,0,5,10,54
S01009901,248,24,114,99,37,14,9,4,16,66
S01009902,141,21,93,63,35,8,5,2,5,60
S01009903,184,25,104,52,16,5,6,8,5,65
S01009904,208,22,108,59,29,10,6,3,10,70
S01009905,163,18,106,41,17,5,4,6,9,57
S01009906,103,17,59,28,12,6,3,2,7,41
S01009907,201,37,124,52,19,5,4,2,8,71
S01009908,233,30,151,73,35,6,11,6,24,60
S01009909,258,24,155,70,28,13,17,8,8,71
S01009910,112,7,62,36,22,5,4,2,6,30
S01009911,178,24,107,48,17,10,8,4,12,43
S01009912,154,23,105,39,30,8,14,2,4,48
S01009913,129,6,69,43,24,11,6,6,9,58
S01009914,156,9,126,50,24,10,15,5,7,64
S01009915,198,13,103,34,13,5,12,4,12,60
S01009916,150,12,110,47,22,8,2,6,3,57
S01009917,146,18,75,60,18,11,1,3,4,31
S01009918,128,10,47,60,11,9,2,3,8,36
S01009919,256,30,142,84,33,10,11,4,10,65
S01009920,238,39,126,68,31,8,6,11,10,84
S01009921,209,23,124,57,26,10,10,8,10,62
S01009922,283,23,121,145,34,9,2,9,10,65
S01009923,172,33,126,90,23,15,7,10,11,67
S01009924,234,29,144,91,41,13,5,9,19,50
S01009925,233,16,99,96,23,6,3,8,7,47
S01009926,175,19,76,72,15,6,6,3,5,38
S01009927,116,21,56,62,17,7,3,0,5,38
S01009928,225,15,100,96,36,8,5,7,15,56
S01009929,123,17,55,45,17,6,0,8,11,24
S01009930,218,25,77,91,26,15,1,3,4,46
S01009931,207,20,90,88,27,10,2,7,11,44
S01009932,177,22,66,95,30,10,2,13,10,45
S01009933,148,16,83,85,16,5,1,8,6,48
S01009934,200,22,55,103,13,10,4,5,8,51
S01009935,194,14,48,126,20,6,4,7,6,46
S01009936,88,16,51,41,9,6,1,1,0,52
S01009937,67,7,13,36,7,6,0,5,1,21
S01009938,127,8,51,92,18,7,8,0,4,57
S01009939,61,6,17,44,6,2,0,4,0,48
S01009940,72,23,30,69,19,8,0,1,4,58
S01009941,159,23,40,114,27,11,2,0,2,71
S01009942,110,30,42,78,16,5,2,5,3,92
S01009943,84,30,52,71,21,4,0,2,3,64
S01009944,96,11,30,67,10,3,4,3,1,44
S01009945,132,34,58,119,23,6,1,2,3,71
S01009946,102,20,57,82,14,5,1,4,1,69
S01009947,82,7,22,67,10,2,0,0,3,42
S01009948,82,19,51,63,22,0,1,3,10,54
S01009949,113,18,52,91,11,8,0,2,4,55
S01009950,124,10,20,85,25,4,0,6,8,24
S01009951,120,10,25,84,20,9,3,0,3,23
S01009952,124,14,31,69,15,6,3,1,10,30
S01009953,133,8,35,97,19,7,2,5,9,45
S01009954,119,11,39,74,22,2,7,3,13,45
S01009955,178,26,59,141,31,10,2,9,9,59
S01009956,95,23,41,82,10,5,0,6,5,45
S01009957,139,19,38,84,28,5,4,2,7,37
S01009958,187,17,59,111,31,8,5,5,8,51
S01009959,129,4,17,74,16,5,2,2,5,33
S01009960,134,0,41,74,17,4,1,8,5,30
S01009961,107,15,35,96,15,4,2,3,0,35
S01009962,214,18,59,142,36,12,3,4,1,57
S01009963,106,12,36,119,17,8,3,3,9,45
S01009964,203,20,53,120,40,15,4,5,9,64
S01009965,146,7,39,97,24,3,7,3,4,69
S01009966,91,14,31,102,32,3,3,1,0,44
S01009967,151,10,31,86,36,6,5,4,7,31
S01009968,87,6,35,69,25,4,0,1,2,39
S01009969,114,5,38,84,52,3,3,3,10,53
S01009970,75,22,32,86,14,4,3,1,1,44
S01009971,115,24,57,107,29,6,0,3,5,89
S01009972,121,17,41,88,39,7,3,3,10,67
S01009973,69,24,37,92,24,3,4,2,1,67
S01009974,59,30,27,39,10,0,0,1,0,39
S01009975,82,21,40,70,21,4,0,1,4,63
S01009976,39,15,25,27,14,2,0,0,2,25
S01009977,56,12,28,65,16,0,0,0,3,44
S01009978,125,27,64,104,38,4,3,5,2,70
S01009979,92,14,28,74,26,6,2,4,4,49
S01009980,66,32,62,76,14,1,0,2,3,65
S01009981,56,22,44,62,16,2,0,0,0,59
S01009982,131,21,59,104,26,1,0,2,2,102
S01009983,49,10,33,49,16,0,0,1,0,58
S01009984,91,14,52,84,21,4,1,4,2,60
S01009985,47,14,24,42,15,2,1,2,1,36
S01009986,55,11,22,56,5,1,3,1,0,33
S01009987,93,20,39,63,14,0,2,3,2,59
S01009988,58,7,29,42,18,2,2,0,0,31
S01009989,95,22,62,96,23,3,1,2,0,61
S01009990,85,17,44,102,16,0,2,1,0,39
S01009991,109,16,62,62,25,3,0,0,0,55
S01009992,97,27,45,54,12,3,3,0,1,54
S01009993,104,17,46,93,23,1,1,2,4,68
S01009994,114,18,57,86,15,2,1,2,6,74
S01009995,84,8,46,71,16,3,0,1,2,46
S01009996,80,10,42,56,16,1,1,3,3,45
S01009997,96,7,31,77,24,4,1,1,1,56
S01009998,100,7,35,59,18,3,0,4,1,42
S01009999,104,13,50,70,17,1,3,3,5,37
S01010000,82,13,63,44,10,4,4,0,4,32
S01010001,92,12,57,78,27,0,2,5,5,47
S01010002,131,23,55,54,20,4,4,2,0,52
S01010003,82,7,57,53,19,4,7,3,5,45
S01010004,107,15,40,75,13,2,6,3,4,33
S01010005,286,14,95,159,42,10,3,8,9,90
S01010006,266,34,132,125,34,8,5,6,7,94
S01010007,171,11,69,99,30,9,6,8,5,49
S01010008,150,14,53,92,22,6,1,4,7,43
S01010009,128,15,44,117,26,7,1,5,3,46
S01010010,217,12,58,137,25,5,3,5,7,61
S01010011,144,11,87,66,20,14,4,5,6,46
S01010012,152,19,55,58,26,8,1,2,4,50
S01010013,175,27,86,90,26,6,7,6,6,65
S01010014,225,36,115,72,22,12,12,3,7,78
S01010015,160,23,106,75,23,10,8,6,6,65
S01010016,110,21,78,59,24,1,1,3,4,68
S01010017,65,17,59,18,6,1,1,4,2,40
S01010018,181,39,113,84,47,5,4,3,3,102
S01010019,79,16,73,43,17,4,4,2,4,35
S01010020,83,31,62,56,17,5,0,3,9,53
S01010021,126,17,72,48,29,3,3,5,1,50
S01010022,546,60,311,166,82,19,26,15,27,178
S01010023,51,19,36,12,5,0,2,1,3,35
S01010024,105,42,64,32,19,8,0,1,5,65
S01010025,86,16,27,30,11,2,2,6,1,35
S01010026,173,25,84,37,17,8,8,1,6,65
S01010027,173,55,103,39,21,3,6,8,7,54
S01010028,94,30,57,22,12,2,4,0,0,39
S01010029,85,27,38,13,5,5,3,1,3,34
S01010030,165,37,103,41,21,7,7,3,2,55
S01010031,214,104,57,33,20,8,13,9,12,48
S01010032,148,65,43,26,19,1,4,8,14,44
S01010033,282,45,171,81,40,8,8,4,10,112
S01010034,219,100,129,53,28,6,6,5,10,99
S01010035,72,23,24,13,7,1,2,2,2,18
S01010036,174,63,43,23,30,1,6,6,8,52
S01010037,77,34,40,26,8,2,4,0,6,53
S01010038,159,64,87,40,22,0,1,5,6,70
S01010039,234,108,76,44,24,6,10,7,15,55
S01010040,179,41,78,46,21,7,6,6,4,45
S01010041,175,84,49,12,18,10,8,6,11,42
S01010042,217,37,125,51,35,4,8,8,12,68
S01010043,118,25,114,18,22,4,7,5,4,57
S01010044,162,23,124,59,17,6,5,0,7,83
S01010045,60,19,41,29,8,0,0,1,0,39
S01010046,178,36,131,60,28,1,5,3,4,97
S01010047,83,20,58,22,21,1,4,0,0,49
S01010048,333,48,174,127,57,4,13,15,12,150
S01010049,90,26,53,33,21,5,1,2,5,64
S01010050,151,38,102,70,53,6,11,1,7,92
S01010051,127,23,84,34,24,4,1,4,0,62
S01010052,177,28,134,67,36,6,4,5,4,97
S01010053,124,36,91,39,23,0,8,2,3,66
S01010054,64,22,44,30,9,2,0,0,2,40
S01010055,125,40,83,43,25,8,4,3,2,73
S01010056,63,27,48,33,21,2,0,2,4,42
S01010057,53,20,51,30,19,1,5,0,1,37
S01010058,106,29,61,54,24,1,4,3,5,69
S01010059,104,21,53,67,24,0,3,2,2,36
S01010060,104,22,68,49,33,2,6,0,7,65
S01010061,75,19,21,60,25,0,0,4,0,56
S01010062,111,39,45,83,35,2,4,0,4,66
S01010063,120,35,55,76,29,1,2,5,6,84
S01010064,64,15,29,46,20,5,1,1,4,49
S01010065,94,25,38,59,25,3,4,0,3,53
S01010066,91,26,48,52,21,0,0,2,2,65
S01010067,71,22,41,28,23,2,2,0,5,41
S01010068,260,34,158,119,81,11,13,14,13,137
S01010069,136,23,35,82,45,4,0,4,4,67
S01010070,73,28,36,68,33,1,4,0,1,59
S01010071,117,24,34,79,30,2,6,2,3,64
S01010072,112,18,50,72,31,3,2,4,3,58
S01010073,104,22,51,70,45,3,3,6,2,60
S01010074,83,9,41,65,42,3,5,1,1,50
S01010075,75,13,33,57,27,0,1,0,2,56
S01010076,75,18,37,55,38,1,2,1,1,44
S01010077,65,19,32,55,26,2,6,1,0,40
S01010078,107,4,22,73,25,2,2,5,0,31
S01010079,146,13,43,72,38,2,2,2,5,59
S01010080,100,8,36,42,30,7,2,1,2,34
S01010081,89,8,40,57,35,1,2,3,1,47
S01010082,152,8,37,82,47,4,3,7,4,58
S01010083,71,10,31,55,20,1,3,5,0,50
S01010084,89,28,30,66,36,2,4,0,2,73
S01010085,88,9,35,69,38,6,3,3,2,60
S01010086,88,27,44,69,47,7,6,4,1,54
S01010087,73,10,21,48,24,1,0,5,2,42
S01010088,775,28,184,355,441,60,39,34,12,365
S01010089,81,10,28,36,44,7,3,6,0,53
S01010090,148,14,40,80,75,4,5,5,3,57
S01010091,183,8,32,105,79,6,11,12,3,72
S01010092,81,22,36,63,54,1,2,3,4,50
S01010093,97,22,30,70,62,9,7,5,2,57
S01010094,96,11,21,65,39,7,4,1,2,45
S01010095,87,11,24,65,29,1,4,4,4,51
S01010096,114,15,21,86,42,2,2,4,0,48
S01010097,116,15,27,66,49,2,5,1,3,49
S01010098,106,12,18,69,39,2,8,6,2,50
S01010099,121,17,27,66,42,5,0,0,1,49
S01010100,116,8,26,66,53,6,3,5,2,53
S01010101,107,18,21,53,51,6,2,4,0,49
S01010102,131,14,20,92,53,9,5,6,2,53
S01010103,185,23,59,125,103,18,5,7,3,109
S01010104,159,21,40,115,96,15,7,11,3,83
S01010105,37,13,12,32,17,2,0,0,0,41
S01010106,20,2,15,23,13,4,0,1,1,15
S01010107,58,13,27,48,41,1,1,0,0,54
S01010108,78,13,33,54,42,11,1,1,3,56
S01010109,181,5,31,90,94,15,6,8,3,75
S01010110,61,17,32,65,17,5,2,3,0,62
S01010111,63,22,31,48,33,5,1,0,0,48
S01010112,95,24,38,72,47,7,5,5,6,54
S01010113,75,29,15,48,32,4,2,2,1,50
S01010114,72,34,22,57,16,3,1,4,0,46
S01010115,56,16,27,54,27,4,1,3,1,65
S01010116,233,35,60,185,72,21,11,5,6,154
S01010117,282,33,48,187,130,27,6,6,8,153
S01010118,62,35,24,46,17,4,2,2,2,50
S01010119,61,14,17,47,21,0,5,0,0,38
S01010120,104,55,39,82,41,3,2,0,1,88
S01010121,47,21,17,42,7,2,1,1,2,51
S01010122,38,15,12,29,9,1,0,0,4,28
S01010123,79,35,37,81,29,0,1,2,2,58
S01010124,84,23,42,82,40,2,2,5,1,56
S01010125,43,23,21,46,14,1,3,0,3,32
S01010126,104,17,46,89,30,1,0,0,1,76
S01010127,56,21,31,59,17,2,1,0,0,47
S01010128,53,24,19,34,19,2,3,1,0,23
S01010129,76,40,23,43,20,5,0,0,5,62
S01010130,139,21,51,92,57,6,7,7,9,79
S01010131,130,12,42,83,36,1,4,5,2,51
