Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01009863,78,73,0,3,163,187,17
S01009864,64,73,1,3,183,138,8
S01009865,72,72,0,0,134,172,2
S01009866,131,113,0,0,77,139,10
S01009867,115,182,0,2,161,194,12
S01009868,52,80,0,1,16,147,5
S01009869,53,69,1,2,81,140,8
S01009870,63,61,0,0,85,90,8
S01009871,130,99,3,2,261,83,15
S01009872,91,124,0,0,23,160,10
S01009873,110,85,0,0,114,77,5
S01009874,148,112,0,0,194,25,8
S01009875,23,77,3,9,119,106,6
S01009876,8,14,0,7,59,7,2
S01009877,184,130,0,0,9,42,4
S01009878,60,78,0,0,59,66,9
S01009879,168,127,0,2,13,22,0
S01009880,111,96,0,2,6,47,7
S01009881,27,53,0,2,145,88,0
S01009882,67,236,1,7,71,251,9
S01009883,59,112,0,1,12,73,9
S01009884,75,172,1,0,41,84,3
S01009885,89,104,0,0,8,34,2
S01009886,85,88,1,0,63,28,4
S01009887,43,46,0,0,289,112,0
S01009888,42,43,0,0,69,81,4
S01009889,61,101,2,0,87,107,10
S01009890,12,11,0,0,160,41,11
S01009891,55,79,0,0,87,124,0
S01009892,32,52,0,0,298,91,2
S01009893,69,82,2,0,108,133,12
S01009894,50,47,0,0,275,74,11
S01009895,44,46,0,2,308,78,6
S01009896,39,71,0,0,285,73,3
S01009897,116,155,2,2,109,116,4
S01009898,52,48,0,0,112,51,1
S01009899,72,204,1,1,43,136,2
S01009900,84,208,0,0,6,99,9
S01009901,90,236,1,2,13,135,8
S01009902,150,127,1,1,143,74,7
S01009903,103,149,0,1,7,74,4
S01009904,83,179,0,4,86,131,3
S01009905,68,109,6,0,61,133,3
S01009906,59,89,0,2,25,85,0
S01009907,71,127,2,1,120,288,2
S01009908,141,193,1,4,65,114,5
S01009909,96,214,3,0,23,179,8
S01009910,57,74,2,1,9,90,3
S01009911,160,152,0,3,5,57,5
S01009912,171,122,0,0,30,20,10
S01009913,156,127,0,0,7,17,4
S01009914,254,137,0,0,5,26,6
S01009915,169,168,0,0,4,32,7
S01009916,167,110,0,0,4,17,3
S01009917,138,122,0,0,5,55,5
S01009918,145,114,0,0,13,13,3
S01009919,141,177,1,0,73,237,4
S01009920,94,225,4,0,14,189,6
S01009921,78,172,0,3,9,184,5
S01009922,153,219,2,2,15,205,5
S01009923,155,191,2,1,17,190,6
S01009924,110,190,2,0,59,208,11
S01009925,68,164,0,0,4,207,3
S01009926,73,139,0,2,27,90,6
S01009927,77,93,0,1,68,63,1
S01009928,236,215,1,0,5,71,8
S01009929,112,113,0,3,1,37,2
S01009930,93,189,1,0,30,136,5
S01009931,110,171,0,1,4,127,6
S01009932,75,151,0,4,48,135,7
S01009933,34,79,3,8,253,102,12
S01009934,119,189,2,4,48,93,2
S01009935,81,153,0,11,326,63,6
S01009936,38,62,0,2,184,64,3
S01009937,11,32,0,2,140,32,1
S01009938,95,99,12,4,228,64,10
S01009939,10,5,1,0,264,12,8
S01009940,74,42,0,0,273,29,8
S01009941,99,155,11,1,18,35,3
S01009942,90,78,0,0,278,33,5
S01009943,66,45,1,2,283,32,8
S01009944,79,83,1,0,51,45,2
S01009945,82,141,4,3,164,88,13
S01009946,124,100,0,0,72,54,3
S01009947,114,56,1,1,77,33,6
S01009948,64,76,1,1,254,24,7
S01009949,124,118,0,1,88,44,9
S01009950,149,97,0,0,6,4,0
S01009951,133,106,0,2,7,7,3
S01009952,167,113,0,1,9,16,0
S01009953,182,123,0,0,21,26,5
S01009954,106,111,2,0,14,12,4
S01009955,168,188,2,2,99,81,8
S01009956,94,124,2,0,37,60,4
S01009957,146,126,0,1,2,13,4
S01009958,155,186,0,0,4,20,2
S01009959,160,107,0,0,3,14,3
S01009960,213,108,0,0,6,14,4
S01009961,124,102,1,1,36,25,1
S01009962,190,186,0,1,78,138,7
S01009963,160,113,0,2,12,16,3
S01009964,169,197,1,5,12,38,3
S01009965,160,151,0,0,24,15,0
S01009966,145,107,0,1,4,8,2
S01009967,206,144,0,0,13,29,0
S01009968,110,94,0,0,4,16,3
S01009969,170,118,0,4,21,25,5
S01009970,43,34,0,0,327,25,9
S01009971,59,90,0,0,304,18,6
S01009972,127,151,0,1,79,15,4
S01009973,56,92,0,0,119,7,2
S01009974,5,15,2,0,255,12,3
S01009975,23,35,0,2,350,18,7
S01009976,30,28,0,0,151,25,3
S01009977,31,18,0,2,394,10,5
S01009978,44,64,0,0,347,17,0
S01009979,30,90,1,7,218,1,1
S01009980,31,36,0,1,283,13,3
S01009981,20,31,2,0,257,10,6
S01009982,42,122,0,0,237,15,5
S01009983,8,7,1,0,251,3,0
S01009984,53,88,1,4,130,22,5
S01009985,5,7,0,0,213,12,0
S01009986,15,15,0,0,180,14,3
S01009987,58,65,3,0,340,22,7
S01009988,36,19,0,1,214,23,4
S01009989,127,109,0,1,67,61,7
S01009990,105,120,1,0,36,49,5
S01009991,102,105,0,2,13,66,14
S01009992,50,37,1,0,243,23,3
S01009993,132,110,0,4,3,77,5
S01009994,103,147,0,4,9,47,7
S01009995,82,98,0,4,5,44,1
S01009996,75,89,2,1,24,60,11
S01009997,86,118,0,0,3,54,9
S01009998,126,81,0,1,5,17,3
S01009999,132,107,1,0,6,21,1
S01010000,83,93,1,1,3,49,4
S01010001,88,121,1,2,31,64,3
S01010002,135,112,1,1,9,57,8
S01010003,137,109,0,0,3,15,5
S01010004,127,107,1,1,2,5,2
S01010005,116,275,2,8,98,169,6
S01010006,149,231,1,2,167,218,6
S01010007,171,172,2,2,5,65,2
S01010008,83,149,0,1,90,124,6
S01010009,48,109,3,2,94,173,8
S01010010,182,189,2,12,33,41,5
S01010011,71,124,1,2,180,118,6
S01010012,168,143,0,1,8,30,5
S01010013,88,166,0,2,50,180,6
S01010014,139,201,0,1,86,81,9
S01010015,81,171,0,0,24,97,2
S01010016,114,90,0,0,111,32,0
S01010017,47,46,0,0,157,31,9
S01010018,111,166,0,1,287,81,13
S01010019,30,45,0,4,330,16,6
S01010020,101,88,0,3,125,21,2
S01010021,29,131,0,11,72,7,6
S01010022,118,571,0,60,268,185,19
S01010023,41,19,1,0,263,18,7
S01010024,33,44,10,10,280,74,6
S01010025,25,22,1,0,218,40,6
S01010026,45,102,0,2,311,40,2
S01010027,64,121,1,2,191,90,5
S01010028,25,55,2,0,238,48,4
S01010029,62,56,0,0,191,30,2
S01010030,87,137,0,0,81,100,2
S01010031,63,118,4,2,16,204,11
S01010032,34,84,1,0,16,157,6
S01010033,50,94,0,0,497,210,17
S01010034,110,136,1,14,454,112,7
S01010035,22,40,1,1,39,48,0
S01010036,26,34,0,0,37,319,1
S01010037,48,33,6,1,264,33,8
S01010038,89,71,5,2,271,117,9
S01010039,64,102,8,4,77,306,8
S01010040,85,113,4,3,134,140,5
S01010041,60,78,9,2,167,169,5
S01010042,39,151,5,3,149,204,6
S01010043,62,82,5,0,191,120,10
S01010044,83,96,3,3,225,198,12
S01010045,26,21,0,0,194,18,3
S01010046,93,140,4,29,324,62,4
S01010047,35,26,9,4,344,18,19
S01010048,89,236,5,14,559,59,9
S01010049,18,11,1,2,330,28,4
S01010050,35,68,0,6,573,30,9
S01010051,44,28,5,2,405,50,14
S01010052,45,154,10,11,270,139,13
S01010053,32,51,3,4,187,106,6
S01010054,17,11,3,5,277,15,1
S01010055,59,58,35,7,283,73,7
S01010056,16,6,3,0,232,21,4
S01010057,36,33,0,2,146,56,6
S01010058,39,61,10,3,183,46,4
S01010059,61,73,2,0,113,114,7
S01010060,73,47,2,0,300,47,8
S01010061,64,86,0,2,44,39,11
S01010062,73,72,1,0,219,45,5
S01010063,40,48,1,1,370,81,16
S01010064,60,51,1,2,89,23,10
S01010065,76,63,1,0,193,32,6
S01010066,51,50,0,1,211,25,0
S01010067,6,20,6,5,232,22,10
S01010068,46,271,1,23,263,158,6
S01010069,142,143,0,5,23,20,7
S01010070,128,88,0,1,4,8,3
S01010071,118,111,1,1,84,28,4
S01010072,140,114,1,0,66,27,5
S01010073,178,119,0,1,24,11,1
S01010074,168,96,0,2,13,19,2
S01010075,105,91,0,2,67,16,6
S01010076,95,83,2,1,68,15,0
S01010077,65,78,0,2,120,13,3
S01010078,122,84,0,0,12,7,0
S01010079,194,116,0,0,27,15,4
S01010080,188,92,0,0,3,8,2
S01010081,176,87,1,2,6,14,3
S01010082,161,156,0,4,10,54,11
S01010083,85,91,0,0,89,26,4
S01010084,130,119,0,3,118,32,4
S01010085,165,108,0,1,8,9,5
S01010086,113,93,0,0,149,26,4
S01010087,160,67,0,2,4,7,2
S01010088,142,1029,1,64,28,53,4
S01010089,77,74,0,0,71,65,10
S01010090,152,151,0,5,30,27,12
S01010091,77,192,0,1,86,18,3
S01010092,122,96,1,2,136,27,5
S01010093,139,131,0,2,33,41,5
S01010094,135,88,0,2,36,12,3
S01010095,157,92,0,2,2,10,3
S01010096,135,124,0,1,3,12,1
S01010097,157,105,0,1,7,21,3
S01010098,149,114,0,1,3,1,1
S01010099,153,108,0,3,4,8,1
S01010100,179,136,0,0,18,13,4
S01010101,177,95,0,0,16,12,7
S01010102,117,117,0,2,8,14,0
S01010103,165,235,0,2,9,17,1
S01010104,125,193,0,0,10,24,3
S01010105,24,6,3,2,120,26,5
S01010106,44,28,0,0,19,5,3
S01010107,50,58,2,2,137,66,17
S01010108,91,96,0,0,117,33,5
S01010109,83,180,0,3,102,73,8
S01010110,47,29,1,1,321,19,19
S01010111,16,13,8,1,306,14,5
S01010112,16,22,4,4,441,8,0
S01010113,41,21,0,0,212,24,3
S01010114,26,14,1,0,301,13,8
S01010115,71,62,0,6,5,16,0
S01010116,102,335,1,19,49,52,6
S01010117,102,323,0,14,139,36,3
S01010118,14,15,0,1,260,9,6
S01010119,6,25,2,0,170,4,2
S01010120,27,33,0,1,411,8,10
S01010121,11,9,0,0,226,8,3
S01010122,12,7,0,0,191,9,1
S01010123,24,31,0,0,244,27,9
S01010124,78,96,0,2,52,51,3
S01010125,21,50,0,1,90,8,5
S01010126,79,107,9,4,102,13,3
S01010127,57,49,0,2,162,7,3
S01010128,4,6,2,0,200,6,7
S01010129,23,17,0,0,290,40,8
S01010130,30,149,0,27,154,13,2
S01010131,192,98,4,0,7,16,2
S01010132,88,69,5,2,250,37,10
S01010133,59,57,0,4,211,35,7
S01010134,139,103,2,1,233,81,12
S01010135,89,80,0,1,149,19,11
S01010136,127,114,0,4,79,47,3
S01010137,120,135,0,0,184,93,11
S01010138,80,28,0,1,421,18,18
S01010139,130,85,0,1,221,56,12
S01010140,86,121,0,4,43,146,13
S01010141,25,32,1,0,384,46,16
S01010142,64,51,5,0,215,28,9
S01010143,114,93,0,0,137,29,7
S01010144,54,49,0,0,152,85,7
S01010145,92,89,4,1,130,67,10
S01010146,49,38,2,0,237,41,4
S01010147,28,28,7,1,363,53,8
S01010148,52,214,1,26,209,34,9
S01010149,35,211,0,21,155,47,7
S01010150,73,32,0,1,249,33,12
S01010151,86,48,0,1,225,9,4
S01010152,140,97,0,0,76,55,5
S01010153,121,95,0,1,203,48,6
S01010154,141,73,0,2,195,37,9
S01010155,147,78,0,1,166,35,5
S01010156,65,40,0,1,125,16,2
S01010157,46,18,2,0,186,14,4
S01010158,122,106,1,0,133,51,7
S01010159,120,57,0,2,137,20,7
S01010160,5,6,0,0,241,4,12
S01010161,37,79,0,2,142,9,0
S01010162,17,19,1,0,281,13,3
S01010163,42,43,4,11,196,23,8
S01010164,68,80,0,3,129,11,1
S01010165,56,14,0,0,247,8,5
S01010166,81,201,1,18,150,19,6
S01010167,98,56,0,4,234,27,12
S01010168,36,63,0,0,103,28,1
S01010169,45,74,0,2,168,23,8
S01010170,37,46,0,0,139,16,3
S01010171,32,87,0,7,340,13,7
S01010172,99,101,0,1,216,67,10
S01010173,115,99,0,0,74,19,6
S01010174,82,75,0,1,60,18,6
S01010175,52,75,0,3,80,28,6
S01010176,121,90,0,1,113,37,2
S01010177,24,48,0,0,211,14,1
S01010178,19,20,1,2,314,9,3
S01010179,55,58,0,0,238,24,9
S01010180,38,128,0,8,87,34,2
S01010181,49,40,0,0,137,9,3
S01010182,145,99,0,2,17,25,8
S01010183,59,40,0,0,109,12,3
S01010184,67,41,0,1,146,20,9
S01010185,58,47,0,2,212,18,0
S01010186,110,109,0,0,4,12,5
S01010187,122,132,0,1,1,29,1
S01010188,183,482,1,8,11,36,8
S01010189,111,208,1,1,5,11,3
S01010190,70,183,0,0,3,8,6
S01010191,89,151,0,0,4,12,1
S01010192,97,166,0,0,4,21,1
S01010193,106,173,1,1,3,15,2
S01010194,96,87,0,2,71,6,0
S01010195,72,77,0,0,47,17,1
S01010196,77,29,1,3,151,8,6
S01010197,57,30,5,13,136,16,5
S01010198,125,77,0,2,131,23,9
S01010199,43,35,0,1,173,4,1
S01010200,85,88,0,1,106,8,7
S01010201,94,107,1,3,37,1,3
S01010202,11,8,0,0,348,4,9
S01010203,81,136,3,0,27,31,3
S01010204,49,36,0,0,230,23,3
S01010205,49,49,1,2,143,38,5
S01010206,0,0,0,0,0,0,0
S01010207,15,9,0,0,84,5,4
S01010208,78,101,10,3,183,153,14
S01010209,73,101,0,3,266,50,15
S01010210,141,133,0,1,99,32,3
S01010211,63,51,0,0,222,27,9
S01010212,75,56,4,2,460,69,18
S01010213,116,93,0,3,183,59,2
S01010214,190,135,2,0,28,31,6
S01010215,33,24,0,0,414,28,9
S01010216,19,19,0,0,236,33,11
S01010217,20,24,0,1,164,45,13
S01010218,85,75,0,4,272,100,17
S01010219,7,5,0,0,52,8,4
S01010220,36,98,1,5,25,103,5
S01010221,24,37,0,1,280,30,3
S01010222,41,32,0,0,233,73,4
S01010223,52,35,3,3,163,49,8
S01010224,32,29,1,0,420,28,7
S01010225,61,61,10,3,237,57,11
S01010226,0,0,0,0,0,0,0
S01010227,0,0,0,0,0,0,0
S01010228,60,100,0,5,349,39,11
S01010229,73,99,0,8,367,32,7
S01010230,28,13,0,2,563,30,15
S01010231,15,7,0,0,448,18,4
S01010232,41,29,0,0,204,46,6
S01010233,31,10,0,0,295,19,4
S01010234,120,150,4,2,87,205,6
S01010235,49,111,1,5,7,213,14
S01010236,99,112,0,0,20,135,10
S01010237,78,115,0,1,38,111,5
S01010238,80,108,1,0,60,147,5
S01010239,68,61,0,3,192,96,2
S01010240,68,93,2,2,125,100,6
S01010241,117,137,1,1,163,193,9
S01010242,25,51,0,1,193,115,8
S01010243,39,46,0,1,270,213,14
S01010244,43,31,3,3,198,64,5
S01010245,14,9,1,0,340,26,13
S01010246,16,21,2,1,304,71,8
S01010247,138,89,0,2,150,20,9
S01010248,95,184,3,4,13,150,3
S01010249,72,130,3,2,37,153,4
S01010250,79,136,0,1,6,157,4
S01010251,38,95,3,1,9,165,0
S01010252,62,102,0,2,30,91,2
S01010253,34,49,2,0,195,66,10
S01010254,48,65,26,6,287,91,7
S01010255,18,30,1,2,342,67,4
S01010256,25,34,2,1,403,73,3
S01010257,38,58,0,0,136,288,5
S01010258,85,60,4,0,24,235,6
S01010259,63,21,3,1,309,92,12
S01010260,131,97,1,0,227,288,17
S01010261,64,22,4,0,230,175,12
S01010262,58,23,3,1,299,129,6
S01010263,48,66,2,0,43,266,8
S01010264,67,84,2,0,160,270,10
S01010265,85,84,2,0,28,292,11
S01010266,56,62,1,3,33,125,8
S01010267,24,16,2,0,14,218,10
S01010268,78,72,4,0,78,181,15
S01010269,36,42,5,0,60,140,10
S01010270,98,59,3,0,454,190,31
S01010271,43,55,2,2,57,195,11
S01010272,47,39,3,0,435,188,17
S01010273,40,73,0,0,34,282,8
S01010274,79,79,0,1,16,192,13
S01010275,53,60,0,2,19,247,1
S01010276,112,170,2,0,40,253,8
S01010277,12,28,2,10,307,47,2
S01010278,22,17,0,1,254,66,4
S01010279,34,33,2,4,144,91,3
S01010280,61,93,2,0,83,242,4
S01010281,60,70,3,1,65,278,3
S01010282,63,79,3,0,235,204,10
S01010283,65,122,2,7,166,173,3
S01010284,81,141,2,0,103,352,10
S01010285,57,85,2,0,131,156,8
S01010286,79,101,5,2,47,216,9
S01010287,53,63,2,0,32,167,0
S01010288,98,124,2,0,44,162,4
S01010289,134,156,2,0,17,148,10
S01010290,74,92,0,1,75,137,11
S01010291,82,75,3,1,103,241,9
S01010292,75,113,6,0,10,185,6
S01010293,39,62,5,0,74,168,3
S01010294,55,65,2,0,17,125,2
S01010295,79,86,6,0,22,230,7
S01010296,35,49,4,0,98,85,6
S01010297,83,70,0,0,306,160,10
S01010298,51,67,2,0,233,137,10
S01010299,24,36,3,1,189,62,9
S01010300,53,62,2,0,204,164,9
S01010301,26,38,5,3,37,111,6
S01010302,30,20,1,0,285,35,7
S01010303,7,19,0,0,208,34,2
S01010304,35,43,6,4,255,73,5
S01010305,94,78,0,0,250,115,7
S01010306,72,78,3,3,71,149,11
S01010307,110,144,1,1,32,138,10
S01010308,138,114,7,1,62,182,19
S01010309,32,22,0,0,62,18,9
S01010310,32,31,3,0,186,56,16
S01010311,50,30,2,0,173,58,12
S01010312,6,4,0,0,388,27,1
S01010313,21,5,0,0,254,19,8
S01010314,53,78,7,19,426,101,7
S01010315,71,105,2,1,124,80,6
S01010316,17,25,2,2,220,51,7
S01010317,101,142,2,7,98,217,10
S01010318,38,53,0,10,328,125,4
S01010319,69,108,0,0,67,147,8
S01010320,50,118,2,7,199,133,8
S01010321,62,82,1,0,145,155,6
S01010322,144,161,1,0,21,151,0
S01010323,4,9,1,0,288,10,6
S01010324,96,38,0,0,220,26,5
S01010325,147,70,2,3,237,34,6
S01010326,51,85,0,9,367,61,5
S01010327,39,114,5,0,166,41,1
S01010328,150,115,3,0,180,38,10
S01010329,89,54,0,1,126,52,10
S01010330,43,32,1,0,169,20,4
S01010331,107,88,0,0,243,50,10
S01010332,60,66,0,0,164,16,9
S01010333,106,103,0,3,261,50,10
S01010334,100,141,0,7,179,64,6
S01010335,77,72,0,3,178,37,6
S01010336,27,11,0,0,262,8,12
S01010337,67,64,0,0,183,22,5
S01010338,42,39,0,0,144,18,2
S01010339,91,65,0,1,58,19,5
S01010340,55,41,1,1,225,25,10
S01010341,87,102,0,4,51,19,1
S01010342,134,101,0,2,9,31,4
S01010343,151,175,0,3,4,17,1
S01010344,43,25,2,0,304,14,11
S01010345,72,176,0,0,10,16,3
S01010346,184,146,1,2,56,38,5
S01010347,107,82,1,3,235,54,6
S01010348,127,105,0,2,123,47,8
S01010349,110,79,0,0,167,33,10
S01010350,96,56,0,0,286,37,8
S01010351,81,127,0,1,126,50,2
S01010352,66,55,2,2,123,31,7
S01010353,15,23,1,0,449,30,31
S01010354,70,64,2,0,181,47,3
S01010355,59,63,1,3,245,46,8
S01010356,57,128,8,6,118,74,6
S01010357,33,25,0,0,170,30,5
S01010358,83,42,1,1,328,62,9
S01010359,47,21,0,1,389,42,10
S01010360,40,55,0,5,217,37,4
S01010361,12,19,0,0,368,22,6
S01010362,55,32,4,2,317,65,15
S01010363,129,152,1,1,34,88,6
S01010364,189,161,0,0,5,15,2
S01010365,230,129,0,1,3,75,6
S01010366,187,186,3,2,13,123,4
S01010367,245,164,1,0,22,102,6
S01010368,181,107,0,0,11,87,7
S01010369,86,96,2,0,89,104,4
S01010370,113,125,2,0,7,87,5
S01010371,173,169,0,0,11,184,13
S01010372,87,110,0,1,12,59,3
S01010373,120,134,2,2,36,129,8
S01010374,147,125,3,0,16,150,4
S01010375,53,59,0,0,4,131,5
S01010376,61,60,2,0,27,206,3
S01010377,61,60,2,0,43,211,8
S01010378,59,54,3,0,11,161,8
S01010379,107,88,6,0,73,221,9
S01010380,151,125,4,0,86,162,11
S01010381,50,44,2,1,18,204,11
S01010382,90,95,5,0,88,187,5
S01010383,32,26,1,0,198,119,5
S01010384,116,100,5,0,48,219,7
S01010385,61,79,2,0,153,200,10
S01010386,46,69,4,0,261,136,10
S01010387,83,93,1,1,157,234,6
S01010388,82,82,3,1,246,155,6
S01010389,121,193,0,3,31,337,13
S01010390,106,160,1,5,126,363,9
S01010391,74,135,1,4,105,199,6
S01010392,101,106,2,1,8,202,3
S01010393,124,160,2,0,72,284,10
S01010394,62,44,2,0,355,75,8
S01010395,91,151,2,3,127,242,9
S01010396,92,93,8,4,212,192,3
S01010397,124,90,2,0,40,118,1
S01010398,188,175,0,0,9,199,3
S01010399,173,195,5,0,3,260,7
S01010400,207,169,0,0,27,101,7
S01010401,116,90,3,0,66,139,5
S01010402,178,182,1,0,28,116,11
S01010403,243,176,3,0,8,105,3
S01010404,201,165,0,0,36,93,6
S01010405,172,160,3,0,9,143,5
S01010406,148,133,4,0,16,163,5
S01010407,104,101,5,0,6,220,13
S01010408,86,89,0,0,68,34,5
S01010409,98,85,0,0,4,3,4
S01010410,139,148,0,0,3,25,2
S01010411,206,162,1,0,6,10,7
S01010412,148,123,0,0,1,113,4
S01010413,251,111,0,3,3,31,3
S01010414,175,183,0,0,57,44,7
S01010415,133,126,0,0,264,93,8
S01010416,152,119,1,0,6,40,2
S01010417,116,103,1,1,3,50,7
S01010418,175,225,0,2,18,128,7
S01010419,234,177,3,0,9,74,4
S01010420,174,91,0,1,8,15,8
S01010421,157,140,1,0,20,22,0
S01010422,204,164,0,0,79,26,7
S01010423,42,61,0,0,316,65,0
S01010424,75,74,0,2,217,105,4
S01010425,62,71,0,1,367,101,7
S01010426,69,64,0,1,165,77,3
S01010427,75,63,0,1,259,30,8
S01010428,132,108,0,0,48,24,3
S01010429,172,196,0,0,22,21,5
S01010430,60,69,0,4,267,62,8
S01010431,128,113,0,0,2,8,0
S01010432,55,63,1,2,247,78,6
S01010433,7,11,3,0,198,10,3
S01010434,31,36,0,0,211,56,5
S01010435,80,85,1,0,97,25,0
S01010436,54,69,0,1,258,74,11
S01010437,58,68,0,2,106,27,5
S01010438,46,72,0,0,229,14,0
S01010439,54,88,0,0,253,82,13
S01010440,82,67,1,0,178,31,7
S01010441,63,150,1,3,171,158,3
S01010442,47,53,1,0,193,81,6
S01010443,95,75,0,1,52,18,1
S01010444,92,73,0,1,60,21,1
S01010445,88,102,0,1,108,26,4
S01010446,146,114,0,0,49,14,2
S01010447,87,99,0,1,279,33,3
S01010448,115,116,0,0,57,25,4
S01010449,120,100,2,0,95,41,5
S01010450,125,116,0,1,110,38,8
S01010451,84,78,1,0,253,23,6
S01010452,128,116,0,1,95,45,5
S01010453,50,53,0,0,212,13,10
S01010454,109,131,0,3,93,37,2
S01010455,41,47,0,0,381,36,10
S01010456,84,107,0,1,81,21,5
S01010457,84,72,0,0,47,7,1
S01010458,112,68,0,3,163,23,4
S01010459,87,77,0,0,45,18,5
S01010460,140,112,0,0,26,56,11
S01010461,88,89,0,1,151,22,0
S01010462,7,20,1,0,315,6,17
S01010463,138,130,0,0,71,26,4
S01010464,77,99,1,0,40,18,5
S01010465,161,189,4,4,14,68,4
S01010466,158,152,1,0,11,127,3
S01010467,224,114,0,4,18,98,5
S01010468,201,137,0,2,4,83,4
S01010469,80,92,2,0,105,131,3
S01010470,122,113,1,0,75,41,6
S01010471,87,101,1,0,100,39,6
S01010472,60,120,0,1,114,99,8
S01010473,151,112,1,1,61,136,5
S01010474,59,97,2,2,74,128,6
S01010475,122,160,2,9,32,108,2
S01010476,190,195,9,7,101,111,7
S01010477,131,126,0,4,62,32,10
S01010478,85,95,1,0,261,53,10
S01010479,138,141,0,0,181,44,13
S01010480,106,93,2,0,62,15,4
S01010481,44,55,1,0,141,19,5
S01010482,113,113,1,0,93,25,4
S01010483,158,171,2,2,159,53,3
S01010484,80,53,0,0,89,16,3
S01010485,147,145,1,0,70,19,6
S01010486,220,135,0,3,8,14,3
S01010487,159,175,0,0,85,20,2
S01010488,47,36,3,1,195,29,10
S01010489,84,124,0,4,201,27,10
S01010490,26,16,0,0,203,16,7
S01010491,31,21,0,0,318,17,6
S01010492,10,22,0,0,207,12,3
S01010493,2,2,0,1,277,7,1
S01010494,35,56,0,2,115,14,4
S01010495,14,21,5,1,356,13,6
S01010496,18,17,8,2,373,15,12
S01010497,11,33,4,1,171,7,0
S01010498,31,40,3,2,335,14,2
S01010499,8,7,2,0,375,20,6
S01010500,34,63,1,0,265,13,3
S01010501,62,143,5,7,241,31,4
S01010502,41,103,7,0,151,14,1
S01010503,29,27,0,0,226,14,2
S01010504,162,38,1,3,39,53,9
S01010505,140,39,1,1,32,30,12
S01010506,223,95,1,3,66,42,20
S01010507,116,78,3,1,82,52,14
S01010508,240,88,2,2,96,47,26
S01010509,202,122,4,0,46,50,11
S01010510,183,101,0,7,144,31,5
S01010511,81,68,10,4,181,14,7
S01010512,90,72,0,2,100,17,5
S01010513,158,113,0,0,22,21,5
S01010514,96,83,0,4,74,15,8
S01010515,118,96,1,0,112,17,8
S01010516,110,81,2,2,88,35,4
S01010517,122,74,7,3,118,42,3
S01010518,82,97,2,0,45,44,4
S01010519,81,78,1,2,126,14,6
S01010520,149,121,14,3,81,38,6
S01010521,114,89,0,4,160,36,4
S01010522,49,44,15,1,158,38,4
S01010523,57,39,0,1,217,20,4
S01010524,130,71,2,1,13,19,6
S01010525,147,72,0,2,37,19,11
S01010526,134,95,3,2,75,43,10
S01010527,163,99,0,7,174,46,8
S01010528,145,72,0,1,41,25,41
S01010529,174,99,1,0,50,13,7
S01010530,150,60,0,1,30,28,18
S01010531,265,126,1,3,66,60,9
S01010532,98,39,0,0,19,27,19
S01010533,127,70,0,1,44,27,8
S01010534,155,97,1,5,89,35,2
S01010535,152,52,0,1,28,48,16
S01010536,104,85,10,4,139,33,2
S01010537,129,73,0,0,63,41,5
S01010538,118,93,2,24,122,63,4
S01010539,185,102,5,2,75,74,14
S01010540,139,54,6,0,20,42,4
S01010541,217,100,1,2,56,40,13
S01010542,215,73,0,5,52,30,17
S01010543,116,67,0,1,12,34,4
S01010544,138,110,0,1,79,35,6
S01010545,170,90,0,3,49,54,3
S01010546,163,69,0,3,64,49,7
S01010547,176,82,0,1,17,45,27
S01010548,194,59,2,2,5,57,10
S01010549,297,295,0,14,71,54,6
S01010550,90,72,2,3,39,20,10
S01010551,162,92,0,4,26,47,3
S01010552,142,78,0,0,19,68,19
S01010553,119,59,0,3,7,73,16
S01010554,166,56,5,0,24,88,9
S01010555,147,108,0,3,61,108,5
S01010556,95,75,0,2,188,26,9
S01010557,109,59,2,4,70,25,6
S01010558,197,85,0,3,73,45,6
S01010559,196,69,0,0,65,33,0
S01010560,168,79,0,2,9,20,4
S01010561,185,75,0,5,10,18,2
S01010562,181,84,1,2,9,26,8
S01010563,62,59,0,5,68,10,1
S01010564,61,32,0,2,135,13,3
S01010565,119,70,0,3,75,12,9
S01010566,211,138,0,2,22,87,38
S01010567,220,142,0,1,17,54,5
S01010568,237,304,0,17,72,76,8
S01010569,136,139,0,11,58,83,13
S01010570,156,104,0,0,135,17,10
S01010571,157,126,0,6,22,68,2
S01010572,88,104,0,16,54,52,1
S01010573,61,86,0,10,49,11,0
S01010574,120,92,0,5,3,12,1
S01010575,198,75,1,0,14,10,4
S01010576,203,118,0,5,1,12,5
S01010577,77,78,0,10,145,17,3
S01010578,62,66,0,5,55,19,1
S01010579,167,118,0,6,2,25,3
S01010580,75,80,0,15,68,121,11
S01010581,65,82,0,9,10,61,5
S01010582,151,211,0,24,71,45,4
S01010583,225,149,3,5,5,45,4
S01010584,113,147,0,26,79,32,3
S01010585,63,182,0,11,29,36,2
S01010586,174,113,0,3,9,15,3
S01010587,169,90,0,1,12,17,3
S01010588,90,78,1,4,30,20,3
S01010589,53,66,12,8,90,33,2
S01010590,139,140,0,0,5,6,5
S01010591,78,309,4,51,69,72,3
