Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01006602,210,121,0,0,3,60,10
S01006603,102,70,0,5,112,22,6
S01006604,111,98,0,11,49,17,9
S01006605,70,87,0,0,172,26,1
S01006606,165,122,1,0,70,19,5
S01006607,132,110,0,5,92,29,4
S01006608,247,569,3,38,67,90,9
S01006609,151,123,0,5,131,24,7
S01006610,62,63,1,1,89,19,5
S01006611,118,147,0,8,132,24,4
S01006612,158,133,1,2,42,17,4
S01006613,93,115,0,0,2,24,0
S01006614,77,158,0,4,1,15,1
S01006615,95,155,0,2,0,14,2
S01006616,128,160,0,3,4,34,0
S01006617,162,129,3,6,32,23,4
S01006618,129,73,1,1,7,8,1
S01006619,133,150,2,4,24,17,3
S01006620,171,130,1,3,46,15,7
S01006621,99,101,2,4,15,15,0
S01006622,112,137,9,0,10,30,2
S01006623,110,104,3,5,186,55,3
S01006624,113,86,5,2,163,167,12
S01006625,96,74,0,2,61,27,8
S01006626,47,49,0,1,143,34,8
S01006627,83,91,1,1,166,107,5
S01006628,64,101,0,2,129,232,5
S01006629,64,47,2,2,208,16,10
S01006630,72,71,0,1,126,26,6
S01006631,90,82,0,4,242,49,9
S01006632,42,42,1,0,248,35,4
S01006633,39,42,0,0,187,11,3
S01006634,25,24,1,0,175,17,4
S01006635,76,55,0,2,126,30,10
S01006636,24,31,0,1,317,12,1
S01006637,56,68,4,0,98,123,8
S01006638,72,75,1,0,126,216,10
S01006639,59,53,0,0,293,197,12
S01006640,41,85,1,1,39,296,11
S01006641,70,95,10,6,107,304,8
S01006642,68,70,3,2,73,268,12
S01006643,53,65,0,0,33,218,6
S01006644,60,127,6,12,93,317,20
S01006645,42,22,2,0,221,69,5
S01006646,29,38,10,1,51,180,9
S01006647,60,23,0,1,150,97,5
S01006648,65,86,7,4,158,289,5
S01006649,35,77,0,0,215,250,7
S01006650,62,56,1,0,64,203,7
S01006651,35,33,0,2,134,146,1
S01006652,36,42,0,0,57,191,2
S01006653,76,76,8,1,23,131,2
S01006654,74,66,2,5,190,120,9
S01006655,125,215,2,3,54,121,8
S01006656,55,96,0,2,115,213,8
S01006657,29,38,9,2,84,96,4
S01006658,62,79,1,6,263,319,9
S01006659,80,64,1,4,9,168,1
S01006660,24,25,2,1,69,101,4
S01006661,99,39,0,0,6,96,2
S01006662,38,21,0,1,126,85,3
S01006663,56,33,0,0,20,123,7
S01006664,31,31,1,1,33,128,1
S01006665,46,48,0,1,57,209,7
S01006666,40,92,4,12,400,118,5
S01006667,32,11,8,0,308,69,5
S01006668,53,62,4,0,83,197,7
S01006669,55,32,0,1,192,137,12
S01006670,56,52,18,5,104,147,7
S01006671,55,21,15,4,45,69,6
S01006672,34,28,0,0,168,100,6
S01006673,54,38,2,0,181,97,7
S01006674,69,10,0,1,381,27,11
S01006675,14,20,0,1,286,19,3
S01006676,26,31,1,1,228,36,2
S01006677,57,45,3,3,332,96,5
S01006678,84,107,1,33,414,73,16
S01006679,132,104,0,1,33,30,6
S01006680,42,35,0,0,342,18,3
S01006681,61,134,4,10,184,65,3
S01006682,28,41,0,0,274,29,0
S01006683,42,52,0,2,207,50,4
S01006684,39,47,0,1,225,67,9
S01006685,54,63,1,0,164,51,5
S01006686,74,62,0,3,84,41,2
S01006687,105,96,0,3,125,68,4
S01006688,186,95,3,3,165,38,5
S01006689,157,178,2,0,14,179,6
S01006690,89,71,5,0,45,80,6
S01006691,113,82,2,5,32,96,6
S01006692,146,89,5,0,34,63,3
S01006693,154,128,0,2,127,133,4
S01006694,60,50,1,2,373,35,9
S01006695,100,106,2,0,86,20,7
S01006696,95,71,1,4,156,40,1
S01006697,111,62,2,3,168,46,10
S01006698,62,36,0,0,234,61,6
S01006699,75,54,0,0,24,36,4
S01006700,121,74,1,2,129,58,8
S01006701,60,65,0,2,165,17,6
S01006702,109,113,0,7,85,12,2
S01006703,69,57,0,3,127,19,2
S01006704,46,68,0,5,142,12,2
S01006705,92,120,0,6,168,13,9
S01006706,67,87,0,8,94,12,5
S01006707,52,52,0,3,92,13,8
S01006708,89,107,3,2,157,14,4
S01006709,95,90,8,2,205,27,5
S01006710,124,106,0,5,154,19,4
S01006711,109,106,0,9,190,25,7
S01006712,84,68,0,6,73,8,7
S01006713,100,112,3,3,204,24,4
S01006714,91,88,0,3,117,10,0
S01006715,41,42,1,2,111,11,3
S01006716,71,45,0,0,101,12,4
S01006717,122,108,0,4,177,10,3
S01006718,65,61,0,0,100,13,7
S01006719,99,123,2,4,135,14,2
S01006720,77,68,0,4,97,9,3
S01006721,104,103,0,8,107,13,4
S01006722,82,84,0,1,105,16,0
S01006723,84,98,2,3,78,9,1
S01006724,33,46,0,0,227,6,0
S01006725,72,78,0,4,105,1,5
S01006726,25,27,0,1,182,25,2
S01006727,37,29,0,0,385,18,2
